series,year,driver_name,team_name,n_races,total_points,avg_points,avg_finish,best_finish,worst_finish,wins,win_rate,podiums,podium_rate,points_finishes,points_rate,top10_finishes,top10_rate,total_laps,avg_kph,finish_std,points_std,dnf_count,dnf_rate
F2,2001,J. Vips,Hitech Grand Prix,4,0.0,,8.75,6.0,12.0,0,0.0,0,0.0,0,0.0,3,0.75,71.0,195.7685,2.5,,,
F2,2001,K. Maini,Campos Racing,3,0.0,,7.0,5.0,10.0,0,0.0,0,0.0,0,0.0,3,1.0,46.0,209.39666666666668,2.6457513110645907,,,
F2,2001,L. Delétraz,Rapax,4,0.0,,5.75,3.0,9.0,0,0.0,1,0.25,0,0.0,4,1.0,72.0,213.6155,2.7537852736430506,,,
F2,2001,L. Ghiotto,RUSSIAN TIME,4,0.0,,4.5,1.0,11.0,1,0.25,2,0.5,0,0.0,3,0.75,72.0,213.933,4.509249752822894,,,
F2,2001,L. Lawson,Carlin,4,0.0,,8.5,3.0,20.0,0,0.0,1,0.25,0,0.0,3,0.75,76.0,195.325,7.76745346515403,,,
F2,2001,L. Sargeant,Carlin,4,0.0,,2.5,1.0,7.0,3,0.75,3,0.75,0,0.0,4,1.0,77.0,196.8325,3.0,,,
F2,2001,M. Armstrong,Hitech Grand Prix,4,0.0,,9.75,8.0,12.0,0,0.0,0,0.0,0,0.0,3,0.75,74.0,195.60500000000002,1.707825127659933,,,
F2,2001,M. Sato,Virtuosi Racing,3,0.0,,18.0,15.0,20.0,0,0.0,0,0.0,0,0.0,0,0.0,52.0,201.74133333333336,2.6457513110645907,,,
F2,2001,N. Jeffri,Trident,4,0.0,,17.0,12.0,20.0,0,0.0,0,0.0,0,0.0,0,0.0,72.0,211.38725,3.559026084010437,,,
F2,2001,N. Latifi,DAMS,4,0.0,,11.5,3.0,16.0,0,0.0,1,0.25,0,0.0,1,0.25,72.0,212.41475,5.802298395176403,,,
F2,2001,N. Matsushita,ART Grand Prix,4,0.0,,3.5,1.0,7.0,1,0.25,2,0.5,0,0.0,4,1.0,70.0,213.66525,2.6457513110645907,,,
F2,2001,N. Nato,Pertamina Arden,4,0.0,,12.25,10.0,15.0,0,0.0,0,0.0,0,0.0,1,0.25,72.0,212.666,2.217355782608345,,,
