series,year,driver_name,driver_code,team_name,n_races,total_points,avg_points,avg_finish,best_finish,worst_finish,wins,win_rate,podiums,podium_rate,points_finishes,points_rate,top10_finishes,top10_rate,total_laps,avg_kph,finish_std,points_std,dnf_count,dnf_rate,avg_best_lap_s,first_f1_year,f1_entry
F2,2020,L  Delétraz,DEL,Charouz Racing System,12,103.0,8.583333333333334,7.083333333333333,2,18,0,0.0,4,0.3333333333333333,9.0,0.75,9,0.75,324.0,183.96641666666665,5.160308893737649,7.279589565519766,0.0,0.0,95.19675,,False
F2,2020,F  Drugovich,DRU,MP Motorsport,12,47.0,3.9166666666666665,11.833333333333334,1,20,1,0.0833333333333333,1,0.0833333333333333,5.0,0.4166666666666667,5,0.4166666666666667,297.0,177.30175,5.905826604192497,7.216878364870322,2.0,0.1666666666666666,94.02336363636364,,False
F2,2020,S  Gelael,GEL,DAMS,8,6.0,0.75,16.5,7,22,0,0.0,0,0.0,1.0,0.125,1,0.125,166.0,172.647,5.154748157905347,2.1213203435596424,4.0,0.5,92.60285714285716,,False
F2,2020,L  Ghiotto,GHI,Hitech Grand Prix,12,69.0,5.75,10.916666666666666,1,21,1,0.0833333333333333,2,0.1666666666666666,8.0,0.6666666666666666,8,0.6666666666666666,278.0,181.22966666666665,7.304523297660198,8.280590668435545,3.0,0.25,95.845,,False
F2,2020,J  Hughes,HUG,BWT HWA RACELAB,1,0.0,0.0,12.0,12,12,0,0.0,0,0.0,0.0,0.0,0,0.0,28.0,176.254,,,0.0,0.0,113.103,,False
F2,2020,C  Ilott,ILO,UNI-Virtuosi,12,81.0,6.75,8.25,2,21,0,0.0,2,0.1666666666666666,10.0,0.8333333333333334,10,0.8333333333333334,317.0,185.23766666666663,5.4958662151243685,6.032111043106188,1.0,0.0833333333333333,95.13116666666669,,False
F2,2020,C  Lundgaard,LUN,ART Grand Prix,12,101.0,8.416666666666666,9.5,1,22,2,0.1666666666666666,4,0.3333333333333333,6.0,0.5,6,0.5,295.0,184.20336363636363,7.633657529174811,10.058540770123786,1.0,0.0833333333333333,93.59245454545454,,False
F2,2020,A  Markelov,MAR,BWT HWA RACELAB,12,1.0,0.0833333333333333,15.0,10,20,0,0.0,0,0.0,1.0,0.0833333333333333,1,0.0833333333333333,323.0,181.69925,3.4641016151377544,0.2886751345948128,0.0,0.0,95.64441666666666,,False
F2,2020,N  Matsushita,MAT,MP Motorsport,9,39.0,4.333333333333333,11.666666666666666,1,22,1,0.1111111111111111,1,0.1111111111111111,3.0,0.3333333333333333,3,0.3333333333333333,217.0,185.20433333333332,6.442049363362563,8.336666000266533,1.0,0.1111111111111111,95.65266666666668,,False
F2,2020,N  Mazepin,MAZ,Hitech Grand Prix,12,73.0,6.083333333333333,9.083333333333334,2,22,0,0.0,2,0.1666666666666666,9.0,0.75,9,0.75,318.0,180.21225,6.052172162024795,6.584531920042654,0.0,0.0,95.23033333333332,2021.0,True
F2,2020,R  Nissany,NIS,Trident,12,7.0,0.5833333333333334,14.833333333333334,8,20,0,0.0,0,0.0,3.0,0.25,3,0.25,292.0,178.04208333333335,4.152399817265222,1.2401124093721456,2.0,0.1666666666666666,94.01445454545456,,False
F2,2020,P  Piquet,PIQ,Charouz Racing System,12,0.0,0.0,14.333333333333334,11,19,0,0.0,0,0.0,0.0,0.0,0,0.0,322.0,183.06425,2.4984843890695503,0.0,1.0,0.0833333333333333,95.49666666666668,2008.0,False
F2,2020,T  Pourchaire,POU,BWT HWA RACELAB,2,0.0,0.0,21.5,21,22,0,0.0,0,0.0,0.0,0.0,0,0.0,38.0,180.7305,0.7071067811865476,0.0,1.0,0.5,86.6125,,False
F2,2020,G  Samaia,SAM,Campos Racing,12,0.0,0.0,17.833333333333332,15,21,0,0.0,0,0.0,0.0,0.0,0,0.0,312.0,179.94458333333333,2.3290003057626296,0.0,2.0,0.1666666666666666,96.01216666666666,,False
F2,2020,M  Sato,SAT,Trident,12,4.0,0.3333333333333333,15.333333333333334,8,21,0,0.0,0,0.0,1.0,0.0833333333333333,1,0.0833333333333333,297.0,177.55516666666665,3.961940143032161,1.1547005383792517,1.0,0.0833333333333333,97.72854545454544,2002.0,False
F2,2020,M  Schumacher,SCH,PREMA Racing,12,130.0,10.833333333333334,7.083333333333333,1,19,2,0.1666666666666666,5,0.4166666666666667,9.0,0.75,9,0.75,309.0,183.79708333333335,6.41671585970911,9.023538243075295,1.0,0.0833333333333333,95.31633333333332,1997.0,False
F2,2020,R  Shwartzman,SHW,PREMA Racing,12,91.0,7.583333333333333,8.166666666666666,1,22,1,0.0833333333333333,2,0.1666666666666666,8.0,0.6666666666666666,8,0.6666666666666666,296.0,183.1191818181818,5.96708141439855,8.284249385357002,1.0,0.0833333333333333,96.658,,False
F2,2020,D  Ticktum,TIC,DAMS,12,96.0,8.0,8.25,1,22,1,0.0833333333333333,4,0.3333333333333333,9.0,0.75,9,0.75,319.0,181.53816666666668,6.311965548932369,8.377458933460563,0.0,0.0,94.98083333333334,,False
F2,2020,Y  Tsunoda,TSU,Carlin,12,110.0,9.166666666666666,9.916666666666666,1,22,2,0.1666666666666666,4,0.3333333333333333,6.0,0.5,6,0.5,284.0,182.646,8.404093519160046,10.347009522591833,2.0,0.1666666666666666,94.474,2021.0,True
F2,2020,J  Vips,VIP,DAMS,4,15.0,3.75,11.5,3,21,0,0.0,1,0.25,1.0,0.25,1,0.25,78.0,198.98633333333336,7.371114795831994,7.5,1.0,0.25,103.88733333333334,,False
F2,2020,G  Zhou,ZHO,UNI-Virtuosi,12,95.0,7.916666666666667,6.416666666666667,3,14,0,0.0,1,0.0833333333333333,11.0,0.9166666666666666,11,0.9166666666666666,324.0,184.23883333333333,3.028901190901153,4.601547829181222,0.0,0.0,95.24816666666668,2022.0,True
F2,2021,J  Aitken,AIT,HWA RACELAB,3,0.0,0.0,15.333333333333334,11,18,0,0.0,0,0.0,0.0,0.0,0,0.0,97.0,167.15133333333333,3.7859388972001824,0.0,0.0,0.0,101.30233333333332,2020.0,False
F2,2021,M  Armstrong,ARM,DAMS,8,17.0,2.125,13.375,5,22,0,0.0,0,0.0,3.0,0.375,3,0.375,171.0,172.4983333333333,6.4793628434548145,3.7961446607992015,3.0,0.375,100.18233333333336,,False
F2,2021,D  Beckmann,BEC,Charouz Racing System,6,0.0,0.0,13.833333333333334,11,17,0,0.0,0,0.0,0.0,0.0,0,0.0,177.0,170.98466666666664,2.228601953392904,0.0,1.0,0.1666666666666666,103.24916666666668,,False
