driver_info,laps,time,gap,int.,kph,best,lap,race_id,season,session_type,lap_set_on,status,car_number,driver_name,driver_code,team_name,time_s,best_lap_s,gap_s
127J. DaruvalaDARPrema Racing,22,40:29.021,-,-,151.592,1:34.711,7,1002,2019,ROUND1Summary,,,127,J  Daruvala,DAR,Prema Racing,2429.021,94.711,
221J. VipsVIPHitech Grand Prix,22,40:31.142,2.121,2.121,151.460,1:34.801,21,1002,2019,ROUND1Summary,,,221,J  Vips,VIP,Hitech Grand Prix,2431.142,94.801,2.121
319N. KariKARTrident,22,40:32.763,3.742,1.621,151.359,1:35.342,12,1002,2019,ROUND1Summary,,,319,N  Kari,KAR,Trident,2432.763,95.342,3.742
428R. ShwartzmanSHWPrema Racing,22,40:33.287,4.266,0.524,151.327,1:34.739,21,1002,2019,ROUND1Summary,,,428,R  Shwartzman,SHW,Prema Racing,2433.287,94.739,4.266
526M. ArmstrongARMPrema Racing,22,40:34.278,5.257,0.991,151.265,1:35.319,14,1002,2019,ROUND1Summary,,,526,M  Armstrong,ARM,Prema Racing,2434.278,95.319,5.257
63C. LundgaardLUNART Grand Prix,22,40:34.742,5.721,0.464,151.236,1:35.164,17,1002,2019,ROUND1Summary,,,63,C  Lundgaard,LUN,ART Grand Prix,2434.742,95.164,5.721
71D. BeckmannBECART Grand Prix,22,40:38.474,9.453,3.732,151.005,1:35.275,22,1002,2019,ROUND1Summary,,,71,D  Beckmann,BEC,ART Grand Prix,2438.474,95.275,9.453
82M. FewtrellFEWART Grand Prix,22,40:42.935,13.914,4.461,150.729,1:35.566,14,1002,2019,ROUND1Summary,,,82,M  Fewtrell,FEW,ART Grand Prix,2442.935,95.566,13.914
914Y. TsunodaTSUJenzer Motorsport,22,40:44.918,15.897,1.983,150.607,1:36.339,14,1002,2019,ROUND1Summary,,,914,Y  Tsunoda,TSU,Jenzer Motorsport,2444.918,96.339,15.897
1030F. DrugovichDRUCarlin Buzz Racing,22,40:45.612,16.591,0.694,150.564,1:36.207,17,1002,2019,ROUND1Summary,,,1030,F  Drugovich,DRU,Carlin Buzz Racing,2445.612,96.207,16.591
117L. ZendeliZENSauber Junior Team by Charouz,22,40:46.156,17.135,0.544,150.531,1:36.320,18,1002,2019,ROUND1Summary,,,117,L  Zendeli,ZEN,Sauber Junior Team by Charouz,2446.156,96.32,17.135
1225S. FernándezFERCampos Racing,22,40:46.761,17.740,0.605,150.493,1:36.224,18,1002,2019,ROUND1Summary,,,1225,S  Fernández,FER,Campos Racing,2446.761,96.224,17.74
1310B. ViscaalVISHWA RACELAB,22,40:47.176,18.155,0.415,150.468,1:36.308,18,1002,2019,ROUND1Summary,,,1310,B  Viscaal,VIS,HWA RACELAB,2447.176,96.308,18.155
1431L. SargeantSARCarlin Buzz Racing,22,40:47.974,18.953,0.798,150.419,1:36.063,12,1002,2019,ROUND1Summary,,,1431,L  Sargeant,SAR,Carlin Buzz Racing,2447.974,96.063,18.953
1529T. NatoriNATCarlin Buzz Racing,22,40:49.622,20.601,1.648,150.318,1:36.321,14,1002,2019,ROUND1Summary,,,1529,T  Natori,NAT,Carlin Buzz Racing,2449.622,96.321,20.601
1618P. PiquetPIQTrident,22,40:50.218,21.197,0.596,150.281,1:36.184,7,1002,2019,ROUND1Summary,,,1618,P  Piquet,PIQ,Trident,2450.218,96.184,21.197
174L. LawsonLAWMP Motorsport,22,40:51.591,22.570,1.373,150.197,1:35.889,20,1002,2019,ROUND1Summary,,,174,L  Lawson,LAW,MP Motorsport,2451.591,95.889,22.57
1812K. AndresANDHWA RACELAB,22,40:53.477,24.456,1.886,150.081,1:36.061,20,1002,2019,ROUND1Summary,,,1812,K  Andres,AND,HWA RACELAB,2453.477,96.061,24.456
196R. VerschoorVERMP Motorsport,22,40:53.853,24.832,0.376,150.058,1:36.162,12,1002,2019,ROUND1Summary,,,196,R  Verschoor,VER,MP Motorsport,2453.853,96.162,24.832
2017D. DeFrancescoDEFTrident,22,40:54.389,25.368,0.536,150.026,1:36.086,14,1002,2019,ROUND1Summary,,,2017,D  DeFrancesco,DEF,Trident,2454.389,96.086,25.368
2120L. PulciniPULHitech Grand Prix,22,41:00.473,31.452,6.084,149.655,1:35.467,14,1002,2019,ROUND1Summary,,,2120,L  Pulcini,PUL,Hitech Grand Prix,2460.473,95.467,31.452
2216A. EstnerESTJenzer Motorsport,22,41:02.881,33.860,2.408,149.508,1:36.548,7,1002,2019,ROUND1Summary,,,2216,A  Estner,EST,Jenzer Motorsport,2462.881,96.548,33.86
2324A. DeleddaDELCampos Racing,22,41:07.723,38.702,4.842,149.215,1:36.323,7,1002,2019,ROUND1Summary,,,2324,A  Deledda,DEL,Campos Racing,2467.723,96.323,38.702
2423A. PeroniPERCampos Racing,22,41:16.561,47.540,8.838,148.682,1:35.149,16,1002,2019,ROUND1Summary,,,2423,A  Peroni,PER,Campos Racing,2476.561,95.149,47.54
DNF5S. LaaksonenLAAMP Motorsport,8,16:29.115,DNF,-,135.080,1:36.443,7,1002,2019,ROUND1Summary,,DNF,5,S  Laaksonen,LAA,MP Motorsport,989.115,96.443,
DNF8F. SchererSCHSauber Junior Team by Charouz,8,16:36.235,DNF,-,134.115,1:36.562,7,1002,2019,ROUND1Summary,,DNF,8,F  Scherer,SCH,Sauber Junior Team by Charouz,996.235,96.562,
DNF22Y. YifeiYIFHitech Grand Prix,-,-,DNF,-,-,-,-,1002,2019,ROUND1Summary,,DNF,22,Y  Yifei,YIF,Hitech Grand Prix,,,
DNF9R. HymanHYMSauber Junior Team by Charouz,-,-,DNF,-,-,-,-,1002,2019,ROUND1Summary,,DNF,9,R  Hyman,HYM,Sauber Junior Team by Charouz,,,
DNF11J. HughesHUGHWA RACELAB,-,-,DNF,-,-,-,-,1002,2019,ROUND1Summary,,DNF,11,J  Hughes,HUG,HWA RACELAB,,,
DNF15A. PetrovPETJenzer Motorsport,-,-,DNF,-,-,-,-,1002,2019,ROUND1Summary,,DNF,15,A  Petrov,PET,Jenzer Motorsport,,,
128R. ShwartzmanSHWPrema Racing,20,38:04.147,-,-,184.25,1:52.391,15,1003,2019,ROUND2Summary,,,128,R  Shwartzman,SHW,Prema Racing,2284.147,112.391,
218P. PiquetPIQTrident,20,38:05.626,1.479,1.479,184.13,1:52.759,18,1003,2019,ROUND2Summary,,,218,P  Piquet,PIQ,Trident,2285.626,112.759,1.479
327J. DaruvalaDARPrema Racing,20,38:06.996,2.849,1.370,184.02,1:52.559,14,1003,2019,ROUND2Summary,,,327,J  Daruvala,DAR,Prema Racing,2286.996,112.559,2.849
46R. VerschoorVERMP Motorsport,20,38:12.447,8.300,5.451,183.583,1:52.180,19,1003,2019,ROUND2Summary,,,46,R  Verschoor,VER,MP Motorsport,2292.447,112.18,8.3
54L. LawsonLAWMP Motorsport,20,38:20.380,16.233,1.092,182.949,1:52.766,19,1003,2019,ROUND2Summary,,,54,L  Lawson,LAW,MP Motorsport,2300.38,112.766,16.233
626M. ArmstrongARMPrema Racing,20,38:19.288,15.141,6.841,183.036,1:52.171,18,1003,2019,ROUND2Summary,,,626,M  Armstrong,ARM,Prema Racing,2299.288,112.171,15.141
711J. HughesHUGHWA RACELAB,20,38:25.511,21.364,5.131,182.542,1:53.565,13,1003,2019,ROUND2Summary,,,711,J  Hughes,HUG,HWA RACELAB,2305.511,113.565,21.364
831L. SargeantSARCarlin Buzz Racing,20,38:26.060,21.913,0.549,182.499,1:53.733,4,1003,2019,ROUND2Summary,,,831,L  Sargeant,SAR,Carlin Buzz Racing,2306.06,113.733,21.913
914Y. TsunodaTSUJenzer Motorsport,20,38:27.053,22.906,0.993,182.42,1:53.509,3,1003,2019,ROUND2Summary,,,914,Y  Tsunoda,TSU,Jenzer Motorsport,2307.053,113.509,22.906
1030F. DrugovichDRUCarlin Buzz Racing,20,38:29.760,25.613,2.707,182.206,1:53.624,5,1003,2019,ROUND2Summary,,,1030,F  Drugovich,DRU,Carlin Buzz Racing,2309.76,113.624,25.613
1116A. EstnerESTJenzer Motorsport,20,38:29.822,25.675,0.062,182.202,1:53.629,14,1003,2019,ROUND2Summary,,,1116,A  Estner,EST,Jenzer Motorsport,2309.822,113.629,25.675
1220L. PulciniPULHitech Grand Prix,20,38:30.065,25.918,0.243,182.182,1:53.101,19,1003,2019,ROUND2Summary,,,1220,L  Pulcini,PUL,Hitech Grand Prix,2310.065,113.101,25.918
139R. HymanHYMSauber Junior Team by Charouz,20,38:33.919,29.772,3.854,181.879,1:53.200,18,1003,2019,ROUND2Summary,,,139,R  Hyman,HYM,Sauber Junior Team by Charouz,2313.919,113.2,29.772
1423A. PeroniPERCampos Racing,20,38:34.470,30.323,0.551,181.836,1:53.544,2,1003,2019,ROUND2Summary,,,1423,A  Peroni,PER,Campos Racing,2314.47,113.544,30.323
153C. LundgaardLUNART Grand Prix,20,38:35.588,31.441,1.118,181.748,1:53.801,13,1003,2019,ROUND2Summary,,,153,C  Lundgaard,LUN,ART Grand Prix,2315.588,113.801,31.441
167L. ZendeliZENSauber Junior Team by Charouz,20,38:36.188,32.041,0.600,181.701,1:53.096,18,1003,2019,ROUND2Summary,,,167,L  Zendeli,ZEN,Sauber Junior Team by Charouz,2316.188,113.096,32.041
1721J. VipsVIPHitech Grand Prix,20,38:36.746,32.599,0.558,181.657,1:53.202,14,1003,2019,ROUND2Summary,,,1721,J  Vips,VIP,Hitech Grand Prix,2316.746,113.202,32.599
182M. FewtrellFEWART Grand Prix,20,38:38.105,33.958,1.359,181.551,1:53.707,14,1003,2019,ROUND2Summary,,,182,M  Fewtrell,FEW,ART Grand Prix,2318.105,113.707,33.958
1912K. AndresANDHWA RACELAB,20,38:38.956,34.809,0.851,181.484,1:53.789,19,1003,2019,ROUND2Summary,,,1912,K  Andres,AND,HWA RACELAB,2318.956,113.789,34.809
2010B. ViscaalVISHWA RACELAB,20,38:38.958,34.811,0.002,181.484,1:53.489,3,1003,2019,ROUND2Summary,,,2010,B  Viscaal,VIS,HWA RACELAB,2318.958,113.489,34.811
2117D. DeFrancescoDEFTrident,20,38:41.648,37.501,2.690,181.273,1:53.599,5,1003,2019,ROUND2Summary,,,2117,D  DeFrancesco,DEF,Trident,2321.648,113.599,37.501
2222Y. YifeiYIFHitech Grand Prix,20,39:10.199,66.052,28.551,179.071,1:53.360,16,1003,2019,ROUND2Summary,,,2222,Y  Yifei,YIF,Hitech Grand Prix,2350.199,113.36,66.052
2324A. DeleddaDELCampos Racing,20,39:53.120,108.973,42.921,175.86,1:54.231,18,1003,2019,ROUND2Summary,,,2324,A  Deledda,DEL,Campos Racing,2393.12,114.231,108.973
DNF19N. KariKARTrident,18,34:52.242,DNF,-,181.045,1:53.140,14,1003,2019,ROUND2Summary,,DNF,19,N  Kari,KAR,Trident,2092.242,113.14,
DNF5S. LaaksonenLAAMP Motorsport,16,31:28.584,DNF,-,178.297,1:54.172,13,1003,2019,ROUND2Summary,,DNF,5,S  Laaksonen,LAA,MP Motorsport,1888.584,114.172,
DNF25S. FernándezFERCampos Racing,15,29:10.867,DNF,-,180.309,1:54.029,3,1003,2019,ROUND2Summary,,DNF,25,S  Fernández,FER,Campos Racing,1750.867,114.029,
DNF8F. SchererSCHSauber Junior Team by Charouz,11,21:23.172,DNF,-,180.469,1:53.986,4,1003,2019,ROUND2Summary,,DNF,8,F  Scherer,SCH,Sauber Junior Team by Charouz,1283.172,113.986,
DNF29T. NatoriNATCarlin Buzz Racing,5,9:56.585,DNF,-,176.649,1:53.843,3,1003,2019,ROUND2Summary,,DNF,29,T  Natori,NAT,Carlin Buzz Racing,596.585,113.843,
DNF1D. BeckmannBECART Grand Prix,2,4:00.035,DNF,-,176.194,1:54.814,2,1003,2019,ROUND2Summary,,DNF,1,D  Beckmann,BEC,ART Grand Prix,240.035,114.814,
111J. HughesHUGHWA RACELAB,24,34:47.494,-,-,178.501,1:21.458,10,1004,2019,ROUND3Summary,,,111,J  Hughes,HUG,HWA RACELAB,2087.494,81.458,
227J. DaruvalaDARPrema Racing,24,34:52.221,4.727,4.727,178.098,1:21.654,19,1004,2019,ROUND3Summary,,,227,J  Daruvala,DAR,Prema Racing,2092.221,81.654,4.727
328R. ShwartzmanSHWPrema Racing,24,34:52.344,4.850,0.123,178.088,1:21.547,10,1004,2019,ROUND3Summary,,,328,R  Shwartzman,SHW,Prema Racing,2092.344,81.547,4.85
42M. FewtrellFEWART Grand Prix,24,34:52.572,5.079,0.229,178.068,1:21.834,20,1004,2019,ROUND3Summary,,,42,M  Fewtrell,FEW,ART Grand Prix,2092.572,81.834,5.079
520L. PulciniPULHitech Grand Prix,24,34:53.159,5.666,0.587,178.018,1:21.613,10,1004,2019,ROUND3Summary,,,520,L  Pulcini,PUL,Hitech Grand Prix,2093.159,81.613,5.666
621J. VipsVIPHitech Grand Prix,24,34:53.580,6.086,0.420,177.982,1:21.610,15,1004,2019,ROUND3Summary,,,621,J  Vips,VIP,Hitech Grand Prix,2093.58,81.61,6.086
77L. ZendeliZENSauber Junior Team by Charouz,24,34:54.199,6.705,0.619,177.93,1:21.660,15,1004,2019,ROUND3Summary,,,77,L  Zendeli,ZEN,Sauber Junior Team by Charouz,2094.199,81.66,6.705
819N. KariKARTrident,24,34:55.262,7.768,1.063,177.84,1:21.518,16,1004,2019,ROUND3Summary,,,819,N  Kari,KAR,Trident,2095.262,81.518,7.768
917D. DeFrancescoDEFTrident,24,34:56.407,8.913,1.145,177.742,1:21.710,15,1004,2019,ROUND3Summary,,,917,D  DeFrancesco,DEF,Trident,2096.407,81.71000000000001,8.913
101D. BeckmannBECART Grand Prix,24,34:57.666,10.172,1.259,177.636,1:21.968,16,1004,2019,ROUND3Summary,,,101,D  Beckmann,BEC,ART Grand Prix,2097.666,81.968,10.172
1114Y. TsunodaTSUJenzer Motorsport,24,34:58.210,10.716,0.544,177.59,1:21.636,15,1004,2019,ROUND3Summary,,,1114,Y  Tsunoda,TSU,Jenzer Motorsport,2098.21,81.636,10.716
126R. VerschoorVERMP Motorsport,24,34:59.864,12.370,1.654,177.45,1:21.631,15,1004,2019,ROUND3Summary,,,126,R  Verschoor,VER,MP Motorsport,2099.864,81.631,12.37
1312K. AndresANDHWA RACELAB,24,35:01.809,14.315,1.945,177.286,1:21.644,20,1004,2019,ROUND3Summary,,,1312,K  Andres,AND,HWA RACELAB,2101.809,81.644,14.315
1430F. DrugovichDRUCarlin Buzz Racing,24,35:02.240,14.746,0.431,177.249,1:22.074,9,1004,2019,ROUND3Summary,,,1430,F  Drugovich,DRU,Carlin Buzz Racing,2102.24,82.074,14.746
1518P. PiquetPIQTrident,24,35:02.917,15.423,0.677,177.192,1:21.422,20,1004,2019,ROUND3Summary,,,1518,P  Piquet,PIQ,Trident,2102.917,81.422,15.423
169R. HymanHYMSauber Junior Team by Charouz,24,35:03.197,15.703,0.280,177.169,1:21.736,20,1004,2019,ROUND3Summary,,,169,R  Hyman,HYM,Sauber Junior Team by Charouz,2103.197,81.736,15.703
173C. LundgaardLUNART Grand Prix,24,35:03.466,15.972,0.269,177.146,1:21.234,20,1004,2019,ROUND3Summary,,,173,C  Lundgaard,LUN,ART Grand Prix,2103.466,81.23400000000001,15.972
185S. LaaksonenLAAMP Motorsport,24,35:07.171,19.677,3.705,176.835,1:21.830,17,1004,2019,ROUND3Summary,,,185,S  Laaksonen,LAA,MP Motorsport,2107.171,81.83,19.677
1926M. ArmstrongARMPrema Racing,24,35:07.357,19.863,0.186,176.819,1:21.427,17,1004,2019,ROUND3Summary,,,1926,M  Armstrong,ARM,Prema Racing,2107.357,81.42699999999999,19.863
2016A. EstnerESTJenzer Motorsport,24,35:09.520,22.026,2.163,176.638,1:21.724,18,1004,2019,ROUND3Summary,,,2016,A  Estner,EST,Jenzer Motorsport,2109.52,81.724,22.026
2115G. CarraraCARJenzer Motorsport,24,35:11.361,23.867,1.841,176.484,1:21.930,14,1004,2019,ROUND3Summary,,,2115,G  Carrara,CAR,Jenzer Motorsport,2111.361,81.93,23.867
2229T. NatoriNATCarlin Buzz Racing,24,35:12.154,24.660,0.793,176.417,1:22.097,20,1004,2019,ROUND3Summary,,,2229,T  Natori,NAT,Carlin Buzz Racing,2112.154,82.09700000000001,24.66
238F. SchererSCHSauber Junior Team by Charouz,24,35:12.726,25.232,0.572,176.37,1:22.172,20,1004,2019,ROUND3Summary,,,238,F  Scherer,SCH,Sauber Junior Team by Charouz,2112.726,82.172,25.232
2424A. DeleddaDELCampos Racing,24,35:18.478,30.984,5.752,175.891,1:22.538,14,1004,2019,ROUND3Summary,,,2424,A  Deledda,DEL,Campos Racing,2118.478,82.538,30.984
254L. LawsonLAWMP Motorsport,23,34:49.688,1 LAP,1 LAP,170.875,1:21.895,16,1004,2019,ROUND3Summary,,,254,L  Lawson,LAW,MP Motorsport,2089.688,81.895,
2631L. SargeantSARCarlin Buzz Racing,21,35:45.779,3 LAPS,2 LAPS,151.92,1:21.866,17,1004,2019,ROUND3Summary,,,2631,L  Sargeant,SAR,Carlin Buzz Racing,2145.779,81.866,
DNF25S. FernándezFERCampos Racing,20,28:30.679,DNF,-,181.473,1:21.923,20,1004,2019,ROUND3Summary,,DNF,25,S  Fernández,FER,Campos Racing,1710.679,81.923,
DNF23A. PeroniPERCampos Racing,20,28:31.251,DNF,-,181.412,1:21.570,20,1004,2019,ROUND3Summary,,DNF,23,A  Peroni,PER,Campos Racing,1711.251,81.57,
DNF22Y. YifeiYIFHitech Grand Prix,10,14:01.077,DNF,-,184.28,1:22.377,5,1004,2019,ROUND3Summary,,DNF,22,Y  Yifei,YIF,Hitech Grand Prix,841.077,82.377,
DNF10B. ViscaalVISHWA RACELAB,10,14:00.404,DNF,-,184.428,1:22.220,4,1004,2019,ROUND3Summary,,DNF,10,B  Viscaal,VIS,HWA RACELAB,840.404,82.22,
120L. PulciniPULHitech Grand Prix,20,35:57.713,-,-,196.351,1:46.530,3,1005,2019,ROUND4Summary,,,120,L  Pulcini,PUL,Hitech Grand Prix,2157.713,106.53,
228R. ShwartzmanSHWPrema Racing,20,36:00.405,2.692,2.692,196.106,1:46.203,19,1005,2019,ROUND4Summary,,,228,R  Shwartzman,SHW,Prema Racing,2160.405,106.203,2.692
34L. LawsonLAWMP Motorsport,20,36:07.431,9.718,7.026,195.47,1:47.174,4,1005,2019,ROUND4Summary,,,34,L  Lawson,LAW,MP Motorsport,2167.431,107.174,9.718
426M. ArmstrongARMPrema Racing,20,36:07.831,10.118,0.400,195.434,1:46.951,5,1005,2019,ROUND4Summary,,,426,M  Armstrong,ARM,Prema Racing,2167.831,106.951,10.118
53C. LundgaardLUNART Grand Prix,20,36:08.384,10.671,0.553,195.384,1:46.869,3,1005,2019,ROUND4Summary,,,53,C  Lundgaard,LUN,ART Grand Prix,2168.384,106.869,10.671
61D. BeckmannBECART Grand Prix,20,36:08.884,11.171,0.500,195.339,1:46.937,4,1005,2019,ROUND4Summary,,,61,D  Beckmann,BEC,ART Grand Prix,2168.884,106.937,11.171
714Y. TsunodaTSUJenzer Motorsport,20,36:09.863,12.150,0.979,195.251,1:46.373,20,1005,2019,ROUND4Summary,,,714,Y  Tsunoda,TSU,Jenzer Motorsport,2169.863,106.373,12.15
88F. SchererSCHSauber Junior Team by Charouz,20,36:10.761,13.048,0.898,195.171,1:46.758,20,1005,2019,ROUND4Summary,,,88,F  Scherer,SCH,Sauber Junior Team by Charouz,2170.761,106.758,13.048
97L. ZendeliZENSauber Junior Team by Charouz,20,36:11.731,14.018,0.970,195.083,1:47.061,16,1005,2019,ROUND4Summary,,,97,L  Zendeli,ZEN,Sauber Junior Team by Charouz,2171.731,107.061,14.018
1030F. DrugovichDRUCarlin Buzz Racing,20,36:12.570,14.857,0.839,195.008,1:47.451,15,1005,2019,ROUND4Summary,,,1030,F  Drugovich,DRU,Carlin Buzz Racing,2172.57,107.451,14.857
1122Y. YifeiYIFHitech Grand Prix,20,36:14.457,16.744,1.887,194.839,1:47.351,15,1005,2019,ROUND4Summary,,,1122,Y  Yifei,YIF,Hitech Grand Prix,2174.457,107.351,16.744
122M. FewtrellFEWART Grand Prix,20,36:15.201,17.488,0.744,194.772,1:47.352,19,1005,2019,ROUND4Summary,,,122,M  Fewtrell,FEW,ART Grand Prix,2175.201,107.352,17.488
1331L. SargeantSARCarlin Buzz Racing,20,36:17.756,20.043,0.883,194.544,1:46.952,19,1005,2019,ROUND4Summary,,,1331,L  Sargeant,SAR,Carlin Buzz Racing,2177.756,106.952,20.043
1425S. FernándezFERCampos Racing,20,36:21.373,23.660,3.617,194.221,1:47.194,18,1005,2019,ROUND4Summary,,,1425,S  Fernández,FER,Campos Racing,2181.373,107.194,23.66
1521J. VipsVIPHitech Grand Prix,20,36:21.873,19.160,1.672,194.623,1:47.067,15,1005,2019,ROUND4Summary,,,1521,J  Vips,VIP,Hitech Grand Prix,2181.873,107.067,19.16
1629T. NatoriNATCarlin Buzz Racing,20,36:26.849,29.136,5.476,193.735,1:48.009,18,1005,2019,ROUND4Summary,,,1629,T  Natori,NAT,Carlin Buzz Racing,2186.849,108.009,29.136
1717D. DeFrancescoDEFTrident,20,36:27.612,29.899,0.763,193.667,1:48.057,18,1005,2019,ROUND4Summary,,,1717,D  DeFrancesco,DEF,Trident,2187.612,108.057,29.899
189R. HymanHYMSauber Junior Team by Charouz,20,36:27.836,30.123,0.224,193.647,1:47.492,16,1005,2019,ROUND4Summary,,,189,R  Hyman,HYM,Sauber Junior Team by Charouz,2187.836,107.492,30.123
1919N. KariKARTrident,20,36:28.492,30.779,0.656,193.589,1:47.571,16,1005,2019,ROUND4Summary,,,1919,N  Kari,KAR,Trident,2188.492,107.571,30.779
2010B. ViscaalVISHWA RACELAB,20,36:28.680,30.967,0.188,193.573,1:47.293,19,1005,2019,ROUND4Summary,,,2010,B  Viscaal,VIS,HWA RACELAB,2188.68,107.293,30.967
216R. VerschoorVERMP Motorsport,20,36:30.643,32.930,1.963,193.399,1:47.819,18,1005,2019,ROUND4Summary,,,216,R  Verschoor,VER,MP Motorsport,2190.643,107.819,32.93
2216A. EstnerESTJenzer Motorsport,20,36:30.800,33.087,0.157,193.385,1:47.280,19,1005,2019,ROUND4Summary,,,2216,A  Estner,EST,Jenzer Motorsport,2190.8,107.28,33.087
2315F. MalvestitiMALJenzer Motorsport,20,36:33.936,36.223,3.136,193.109,1:47.841,20,1005,2019,ROUND4Summary,,,2315,F  Malvestiti,MAL,Jenzer Motorsport,2193.936,107.841,36.223
245S. LaaksonenLAAMP Motorsport,20,36:34.424,36.711,0.488,193.066,1:47.564,20,1005,2019,ROUND4Summary,,,245,S  Laaksonen,LAA,MP Motorsport,2194.424,107.564,36.711
2524A. DeleddaDELCampos Racing,20,36:42.000,44.287,7.576,192.402,1:48.338,18,1005,2019,ROUND4Summary,,,2524,A  Deledda,DEL,Campos Racing,2202.0,108.338,44.287
2612K. AndresANDHWA RACELAB,20,37:00.281,62.568,18.281,190.818,1:46.337,18,1005,2019,ROUND4Summary,,,2612,K  Andres,AND,HWA RACELAB,2220.281,106.337,62.568
DNF18P. PiquetPIQTrident,19,34:19.760,DNF,-,195.392,1:46.893,3,1005,2019,ROUND4Summary,,DNF,18,P  Piquet,PIQ,Trident,2059.76,106.893,
DNF27J. DaruvalaDARPrema Racing,19,34:20.186,DNF,-,195.352,1:46.726,4,1005,2019,ROUND4Summary,,DNF,27,J  Daruvala,DAR,Prema Racing,2060.186,106.726,
DNF11J. HughesHUGHWA RACELAB,16,28:56.838,DNF,-,195.089,1:47.457,3,1005,2019,ROUND4Summary,,DNF,11,J  Hughes,HUG,HWA RACELAB,1736.838,107.457,
DNF23A. PeroniPERCampos Racing,8,14:50.373,DNF,-,190.008,1:48.901,2,1005,2019,ROUND4Summary,,DNF,23,A  Peroni,PER,Campos Racing,890.373,108.901,
126M. ArmstrongARMPrema Racing,22,35:26.061,-,-,163.133,1:35.307,4,1006,2019,ROUND5Summary,,,126,M  Armstrong,ARM,Prema Racing,2126.061,95.307,
220L. PulciniPULHitech Grand Prix,22,35:38.731,12.670,12.670,162.166,1:35.496,3,1006,2019,ROUND5Summary,,,220,L  Pulcini,PUL,Hitech Grand Prix,2138.731,95.496,12.67
311J. HughesHUGHWA RACELAB,22,35:45.045,18.984,6.314,161.689,1:35.394,22,1006,2019,ROUND5Summary,,,311,J  Hughes,HUG,HWA RACELAB,2145.045,95.394,18.984
421J. VipsVIPHitech Grand Prix,22,35:50.462,24.401,5.417,161.282,1:36.161,3,1006,2019,ROUND5Summary,,,421,J  Vips,VIP,Hitech Grand Prix,2150.462,96.161,24.401
53C. LundgaardLUNART Grand Prix,22,35:51.625,25.564,1.163,161.195,1:36.142,4,1006,2019,ROUND5Summary,,,53,C  Lundgaard,LUN,ART Grand Prix,2151.625,96.142,25.564
614Y. TsunodaTSUJenzer Motorsport,22,35:51.950,25.889,0.325,161.170,1:36.183,4,1006,2019,ROUND5Summary,,,614,Y  Tsunoda,TSU,Jenzer Motorsport,2151.95,96.183,25.889
727J. DaruvalaDARPrema Racing,22,35:55.618,29.557,3.668,160.896,1:35.858,4,1006,2019,ROUND5Summary,,,727,J  Daruvala,DAR,Prema Racing,2155.618,95.858,29.557
831L. SargeantSARCarlin Buzz Racing,22,36:03.358,37.297,7.740,160.320,1:36.343,4,1006,2019,ROUND5Summary,,,831,L  Sargeant,SAR,Carlin Buzz Racing,2163.358,96.343,37.297
94L. LawsonLAWMP Motorsport,22,36:04.387,38.326,1.029,160.244,1:36.751,4,1006,2019,ROUND5Summary,,,94,L  Lawson,LAW,MP Motorsport,2164.387,96.751,38.326
1010B. ViscaalVISHWA RACELAB,22,36:05.787,39.726,1.400,160.140,1:37.248,3,1006,2019,ROUND5Summary,,,1010,B  Viscaal,VIS,HWA RACELAB,2165.787,97.248,39.726
1117D. DeFrancescoDEFTrident,22,36:08.596,42.535,2.809,159.933,1:36.508,4,1006,2019,ROUND5Summary,,,1117,D  DeFrancesco,DEF,Trident,2168.596,96.508,42.535
1219N. KariKARTrident,22,36:10.332,44.271,1.736,159.805,1:36.681,4,1006,2019,ROUND5Summary,,,1219,N  Kari,KAR,Trident,2170.332,96.681,44.271
138F. SchererSCHSauber Junior Team by Charouz,22,36:10.791,44.730,0.459,159.771,1:36.915,4,1006,2019,ROUND5Summary,,,138,F  Scherer,SCH,Sauber Junior Team by Charouz,2170.791,96.915,44.73
1412K. AndresANDHWA RACELAB,22,36:11.813,45.752,1.022,159.696,1:37.123,4,1006,2019,ROUND5Summary,,,1412,K  Andres,AND,HWA RACELAB,2171.813,97.123,45.752
1516A. EstnerESTJenzer Motorsport,22,36:12.122,46.061,0.309,159.673,1:37.238,4,1006,2019,ROUND5Summary,,,1516,A  Estner,EST,Jenzer Motorsport,2172.122,97.238,46.061
1623A. PeroniPERCampos Racing,22,36:13.225,47.164,1.103,159.592,1:37.111,8,1006,2019,ROUND5Summary,,,1623,A  Peroni,PER,Campos Racing,2173.225,97.111,47.164
176R. VerschoorVERMP Motorsport,22,36:13.498,47.437,0.273,159.572,1:37.163,4,1006,2019,ROUND5Summary,,,176,R  Verschoor,VER,MP Motorsport,2173.498,97.163,47.437
185S. LaaksonenLAAMP Motorsport,22,36:14.337,48.276,0.839,159.511,1:37.325,4,1006,2019,ROUND5Summary,,,185,S  Laaksonen,LAA,MP Motorsport,2174.337,97.325,48.276
191D. BeckmannBECART Grand Prix,22,36:14.576,48.515,0.239,159.493,1:37.342,4,1006,2019,ROUND5Summary,,,191,D  Beckmann,BEC,ART Grand Prix,2174.576,97.342,48.515
207L. ZendeliZENSauber Junior Team by Charouz,22,36:15.122,49.061,0.546,159.453,1:37.205,21,1006,2019,ROUND5Summary,,,207,L  Zendeli,ZEN,Sauber Junior Team by Charouz,2175.122,97.205,49.061
