series,season,driver_name,driver_code,team_name,n_races,avg_finish,best_finish,worst_finish,finish_std,wins,win_rate,podiums,podium_rate,top10_finishes,top10_rate,dnf_count,dnf_rate,dns_count,dns_rate,dsq_count,dsq_rate,total_laps,avg_kph,avg_lap_time_s,avg_time_from_winner_s,avg_best_lap_from_best_s,driver_speed_mean,team_speed_mean,team_avg_pos_season_mean,driver_vs_team_mean,driver_vs_team_best,driver_vs_team_std,lap_vs_race_avg_mean,lap_vs_race_avg_std
F3,2019,L  Lawson,LAW,MP Motorsport,8,11.125,2.0,25.0,8.271076972541984,0,0.0,2,0.25,5,0.625,0,0.0,0,0.0,0,0.0,166.0,173.817375,113.0845,18.186374999999998,1.013875,113.085,113.14871794229056,13.2,-0.06412499999999977,-22.293,17.441222388660556,-0.35637500000000005,1.4460978960637485
F3,2019,L  Pulcini,PUL,Hitech Grand Prix,8,8.75,1.0,21.0,7.005100182825979,1,0.125,2,0.25,5,0.625,0,0.0,0,0.0,0,0.0,167.0,174.8695,112.516875,16.639625,0.676,112.517,112.84071430093778,10.773,-0.3240000000000002,-25.626,18.024023801582153,-0.924125,0.6595932594085107
F3,2019,L  Sargeant,SAR,Carlin Buzz Racing,8,12.714285714285714,8.0,26.0,6.290582530372571,0,0.0,0,0.0,4,0.5,1,0.125,0,0.0,0,0.0,161.0,170.62275,115.147875,29.43542857142857,1.123375,115.148,114.91332223624627,13.9,0.23450000000000085,-16.579,16.92503410420704,1.706875,5.2703718339275785
F3,2019,L  Zendeli,ZEN,Sauber Junior Team by Charouz,8,13.5,7.0,20.0,5.244044240850759,0,0.0,0,0.0,2,0.25,1,0.125,1,0.125,0,0.0,145.0,172.79271428571428,112.99742857142857,24.871166666666667,1.1365714285714286,112.998,114.0102857753432,14.824,-1.0127142857142852,-26.752,21.230593183063963,0.31342857142857133,1.9399059991953953
F3,2019,M  Armstrong,ARM,Prema Racing,8,6.375,1.0,19.0,6.588680769753099,2,0.25,3,0.375,6,0.75,0,0.0,0,0.0,0,0.0,167.0,175.3275,112.1485,9.506875,0.2215,112.149,112.26566403528318,5.455,-0.11712499999999981,-24.459,17.72252617786189,-1.2922500000000001,0.8390919837198166
F3,2019,M  Fewtrell,FEW,ART Grand Prix,8,14.0,4.0,24.0,7.234178138070235,0,0.0,0,0.0,2,0.25,1,0.125,0,0.0,0,0.0,163.0,173.296875,113.68775,28.63242857142857,1.15875,113.688,113.25568456134658,11.905,0.43249999999999983,-26.065,19.483697691000177,0.246875,1.547706084823601
F3,2019,N  Kari,KAR,Trident,8,10.333333333333334,3.0,19.0,6.121002096606949,0,0.0,1,0.125,3,0.375,2,0.25,0,0.0,0,0.0,149.0,175.237625,111.729875,21.153333333333332,0.8718571428571428,111.73,113.57823657516536,12.579,-1.8486250000000002,-26.276,15.428426027836688,-1.7109999999999999,3.5370500622492105
F3,2019,P  Piquet,PIQ,Trident,8,11.833333333333334,2.0,27.0,9.32559202767667,0,0.0,1,0.125,3,0.375,2,0.25,0,0.0,0,0.0,162.0,174.71525,112.556625,20.7645,0.7295,112.557,113.57823657516536,12.579,-1.0217500000000002,-25.957,17.521688973954536,-0.884125,1.0506420401014664
F3,2019,R  Hyman,HYM,Sauber Junior Team by Charouz,8,17.0,13.0,25.0,4.427188724235731,0,0.0,0,0.0,0,0.0,2,0.25,0,0.0,0,0.0,142.0,176.4855714285714,114.01228571428571,33.494,1.0848571428571427,114.012,114.0102857753432,14.824,0.002142857142857097,-26.377,20.526771360255136,0.39842857142857147,1.1795171126556914
F3,2019,R  Shwartzman,SHW,Prema Racing,8,3.4285714285714284,1.0,8.0,2.2253945610567474,1,0.125,5,0.625,7,0.875,1,0.125,0,0.0,0,0.0,162.0,175.2225,112.24475,5.996,0.39025,112.245,112.26566403528318,5.455,-0.020750000000000268,-25.085,17.690840654740764,-1.196,0.7674439951646541
F3,2019,R  Verschoor,VER,MP Motorsport,8,11.875,4.0,21.0,6.642665127793212,0,0.0,0,0.0,3,0.375,0,0.0,0,0.0,0,0.0,167.0,174.4705,112.728125,21.13025,0.950625,112.728,113.14871794229056,13.2,-0.4203749999999994,-25.654,17.79031750248673,-0.71275,0.7935475051042269
F3,2019,S  Fernández,FER,Campos Racing,8,17.6,12.0,26.0,6.4265076052238514,0,0.0,0,0.0,0,0.0,3,0.375,0,0.0,0,0.0,157.0,173.664625,113.31875,42.92,1.071625,113.319,113.7624530483527,20.278,-0.4435000000000009,-28.229,18.30802903490316,-0.122125,1.5362195190513257
F3,2019,S  Laaksonen,LAA,MP Motorsport,8,20.0,18.0,24.0,2.8284271247461903,0,0.0,0,0.0,0,0.0,4,0.5,0,0.0,0,0.0,122.0,172.789875,113.633375,35.269,1.8708749999999998,113.633,113.14871794229056,13.2,0.48462499999999986,-25.35,15.133559263509127,0.19237499999999996,6.913373064214024
F3,2019,T  Natori,NAT,Carlin Buzz Racing,8,18.166666666666668,8.0,29.0,7.082843120291926,0,0.0,0,0.0,1,0.125,2,0.25,0,0.0,0,0.0,129.0,173.50685714285714,116.731,33.29183333333334,1.122,116.731,114.91332223624627,13.9,1.8180000000000003,-26.907,18.179377217055595,1.1782857142857142,2.960235278615858
F3,2019,Y  Tsunoda,TSU,Jenzer Motorsport,8,6.428571428571429,1.0,11.0,3.735288603626359,1,0.125,2,0.25,6,0.75,1,0.125,0,0.0,0,0.0,166.0,174.701625,112.5835,13.153285714285714,0.776125,112.583,112.72754608216276,15.15,-0.14425,-25.302,17.84425399113115,-0.8575,0.8702510311070348
F3,2019,Y  Yifei,YIF,Hitech Grand Prix,8,15.0,6.0,22.0,6.870225614927067,0,0.0,0,0.0,2,0.25,2,0.25,0,0.0,0,0.0,131.0,178.07871428571428,112.96385714285715,35.471333333333334,1.0055714285714286,112.964,112.84071430093778,10.773,0.1230000000000006,-28.733,20.01591244485247,-0.6501428571428571,1.6475259662669386
F3,2020,A  Deledda,DEL,Campos Racing,9,23.285714285714285,20.0,28.0,2.8115408417381915,0,0.0,0,0.0,0,0.0,2,0.2222222222222222,0,0.0,0,0.0,157.0,156.97333333333333,124.20055555555557,38.52285714285715,6.86325,124.201,115.16850141541464,17.478,9.032111111111112,-22.123,31.300414096479795,10.278444444444444,24.054283673137675
F3,2020,A  Estner,EST,Campos Racing,1,20.0,20.0,20.0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17.0,184.26,136.699,51.647,3.354,136.699,115.16850141541464,17.478,21.53,21.53,,-1.428,
F3,2020,A  Peroni,PER,Campos Racing,9,11.25,2.0,24.0,7.959720023791217,0,0.0,2,0.2222222222222222,4,0.4444444444444444,1,0.1111111111111111,0,0.0,0,0.0,178.0,171.891,110.69188888888888,19.211125,0.8377777777777777,110.692,115.16850141541464,17.478,-4.476888888888889,-31.852,15.989909759317317,-3.2304444444444447,3.6231303147661937
F3,2020,A  Smolyar,SMO,ART Grand Prix,9,9.333333333333334,4.0,20.0,5.267826876426369,0,0.0,0,0.0,6,0.6666666666666666,0,0.0,0,0.0,0,0.0,192.0,170.48322222222222,111.29322222222223,9.522777777777778,0.719,111.293,111.36905099383188,9.333,-0.07588888888888917,-18.67,13.434395273368693,-2.629111111111111,2.187284529070489
F3,2020,B  Barnicoat,BAR,Carlin Buzz Racing,2,12.0,12.0,12.0,,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,30.0,169.3105,125.49,10.998,0.8535,125.49,112.38700142622928,16.273,13.1025,5.665,10.518213370149894,2.8395,4.4102249942604965
F3,2020,B  Viscaal,VIS,MP Motorsport,9,14.625,1.0,20.0,6.186101934405635,1,0.1111111111111111,1,0.1111111111111111,1,0.1111111111111111,0,0.0,0,0.0,0,0.0,192.0,169.95066666666668,111.61455555555555,15.602125000000001,0.9149999999999999,111.615,112.72042301120447,12.522,-1.1057777777777775,-19.942,13.706082169768443,-2.3076666666666665,2.5184063413198436
F3,2020,C  Das,DAS,Carlin Buzz Racing,9,19.714285714285715,11.0,25.0,5.219012860502954,0,0.0,0,0.0,0,0.0,2,0.2222222222222222,0,0.0,0,0.0,168.0,169.48566666666667,111.94822222222223,34.31342857142857,1.8754444444444447,111.948,112.38700142622928,16.273,-0.43877777777777777,-19.39,14.480126965757048,-1.9737777777777776,3.349902154458313
F3,2020,C  Novalak,NOV,Carlin Buzz Racing,9,11.375,2.0,25.0,7.26906360642729,0,0.0,2,0.2222222222222222,3,0.3333333333333333,1,0.1111111111111111,0,0.0,0,0.0,179.0,168.5758888888889,112.36455555555555,13.048625,1.076,112.365,112.38700142622928,16.273,-0.022444444444444638,-19.762,12.945258351140689,-1.5574444444444444,2.019788857226858
F3,2020,C  Williams,WIL,Jenzer Motorsport,9,18.375,14.0,25.0,4.2067123233504535,0,0.0,0,0.0,0,0.0,1,0.1111111111111111,0,0.0,0,0.0,172.0,168.327,111.016375,30.770875,1.08325,111.016,121.49808431027175,19.125,-10.48175,-28.532,14.4014755072428,-1.274875,2.7436297354052717
F3,2020,D  Beckmann,BEC,Trident,9,4.125,1.0,9.0,3.226563851175781,2,0.2222222222222222,4,0.4444444444444444,8,0.8888888888888888,1,0.1111111111111111,0,0.0,0,0.0,177.0,170.00511111111112,111.44277777777778,6.2135,0.7034444444444445,111.443,111.81270581283422,9.708,-0.36966666666666625,-19.174,13.456079871195772,-2.4793333333333334,2.5537081861481354
F3,2020,D  Hauger,HAU,Hitech Grand Prix,9,16.22222222222222,3.0,26.0,6.741249472052228,0,0.0,1,0.1111111111111111,1,0.1111111111111111,0,0.0,0,0.0,0,0.0,189.0,167.05266666666665,114.03677777777777,25.234444444444442,1.0783333333333334,114.037,112.2384644768338,10.864,1.798111111111111,-19.149,15.023025339827896,0.11433333333333334,7.203602397412006
F3,2020,D  Schumacher,SCH,Carlin Buzz Racing,3,16.5,14.0,19.0,3.5355339059327378,0,0.0,0,0.0,0,0.0,1,0.3333333333333333,0,0.0,0,0.0,47.0,188.89166666666665,114.63933333333334,34.35,1.2326666666666666,114.346,112.38700142622928,16.273,2.252333333333334,-10.129,18.485573438044415,-1.5433333333333332,1.688629720611755
F3,2020,D  Schumacher,SCH,Charouz Racing System,6,17.0,13.0,25.0,4.69041575982343,0,0.0,0,0.0,0,0.0,1,0.16666666666666666,0,0.0,0,0.0,113.0,155.0465,114.1995,24.0146,1.3135999999999999,114.346,114.37174159994417,17.955,-0.17249999999999951,-21.447,18.86666498085976,1.4073333333333329,8.724134814792047
F3,2020,E  Ahmed,AHM,Carlin Buzz Racing,3,20.0,15.0,24.0,4.58257569495584,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,70.0,152.69,103.48599999999999,16.063,2.1706666666666665,103.486,112.38700142622928,16.273,-8.901,-19.061,15.116628724685938,-3.2693333333333334,3.618354644494281
F3,2020,E  Fittipaldi,FIT,HWA RACELAB,9,12.222222222222221,4.0,19.0,5.262551134615648,0,0.0,0,0.0,4,0.4444444444444444,0,0.0,0,0.0,0,0.0,192.0,169.50188888888889,111.86111111111111,21.14333333333333,0.9201111111111112,111.861,115.80277714516784,14.32,-3.9413333333333327,-23.061,13.600994301888374,-2.0608888888888885,2.7033036938366934
