driver_info,laps,time,gap,int.,kph,best,lap,race_id,season,session_type,lap_set_on,status,car_number,driver_name,driver_code,team_name,time_s,best_lap_s,gap_s,laps_clean,position,winner_time_s,best_race_lap_s,race_max_laps,rel_laps,time_from_winner_s,best_lap_from_best_s,avg_lap_time_s,finished,is_dnf,is_dns,is_dsq,position_clean,team_avg_pos_season,team_speed,driver_speed,driver_top10_rate,race_avg_lap_time_s,driver_vs_team,lap_vs_race_avg,session_round
127J. DaruvalaDARPrema Racing,22,40:29.021,-,-,151.592,1:34.711,7,1002,2019,ROUND1Summary,,,127,J  Daruvala,DAR,Prema Racing,2429.021,94.711,,22.0,1.0,2429.021,94.711,22.0,1.0,0.0,0.0,110.41,1,0,0,0,1.0,5.455,112.26566403528318,112.404,0.625,112.23031381118881,-1.856,-1.82,1
221J. VipsVIPHitech Grand Prix,22,40:31.142,2.121,2.121,151.460,1:34.801,21,1002,2019,ROUND1Summary,,,221,J  Vips,VIP,Hitech Grand Prix,2431.142,94.801,2.121,22.0,2.0,2429.021,94.711,22.0,1.0,2.121,0.09,110.506,1,0,0,0,2.0,10.773,112.84071430093778,113.057,0.5,112.23031381118881,-2.334,-1.724,1
319N. KariKARTrident,22,40:32.763,3.742,1.621,151.359,1:35.342,12,1002,2019,ROUND1Summary,,,319,N  Kari,KAR,Trident,2432.763,95.342,3.742,22.0,3.0,2429.021,94.711,22.0,1.0,3.742,0.631,110.58,1,0,0,0,3.0,12.579,113.57823657516536,111.73,0.375,112.23031381118881,-2.998,-1.65,1
428R. ShwartzmanSHWPrema Racing,22,40:33.287,4.266,0.524,151.327,1:34.739,21,1002,2019,ROUND1Summary,,,428,R  Shwartzman,SHW,Prema Racing,2433.287,94.739,4.266,22.0,4.0,2429.021,94.711,22.0,1.0,4.266,0.028,110.604,1,0,0,0,4.0,5.455,112.26566403528318,112.245,0.875,112.23031381118881,-1.662,-1.626,1
526M. ArmstrongARMPrema Racing,22,40:34.278,5.257,0.991,151.265,1:35.319,14,1002,2019,ROUND1Summary,,,526,M  Armstrong,ARM,Prema Racing,2434.278,95.319,5.257,22.0,5.0,2429.021,94.711,22.0,1.0,5.257,0.608,110.649,1,0,0,0,5.0,5.455,112.26566403528318,112.149,0.75,112.23031381118881,-1.617,-1.581,1
63C. LundgaardLUNART Grand Prix,22,40:34.742,5.721,0.464,151.236,1:35.164,17,1002,2019,ROUND1Summary,,,63,C  Lundgaard,LUN,ART Grand Prix,2434.742,95.164,5.721,22.0,6.0,2429.021,94.711,22.0,1.0,5.721,0.453,110.67,1,0,0,0,6.0,11.905,113.25568456134658,112.573,0.75,112.23031381118881,-2.586,-1.56,1
71D. BeckmannBECART Grand Prix,22,40:38.474,9.453,3.732,151.005,1:35.275,22,1002,2019,ROUND1Summary,,,71,D  Beckmann,BEC,ART Grand Prix,2438.474,95.275,9.453,22.0,7.0,2429.021,94.711,22.0,1.0,9.453,0.564,110.84,1,0,0,0,7.0,11.905,113.25568456134658,113.542,0.429,112.23031381118881,-2.416,-1.391,1
82M. FewtrellFEWART Grand Prix,22,40:42.935,13.914,4.461,150.729,1:35.566,14,1002,2019,ROUND1Summary,,,82,M  Fewtrell,FEW,ART Grand Prix,2442.935,95.566,13.914,22.0,8.0,2429.021,94.711,22.0,1.0,13.914,0.855,111.042,1,0,0,0,8.0,11.905,113.25568456134658,113.688,0.25,112.23031381118881,-2.213,-1.188,1
914Y. TsunodaTSUJenzer Motorsport,22,40:44.918,15.897,1.983,150.607,1:36.339,14,1002,2019,ROUND1Summary,,,914,Y  Tsunoda,TSU,Jenzer Motorsport,2444.918,96.339,15.897,22.0,9.0,2429.021,94.711,22.0,1.0,15.897,1.628,111.133,1,0,0,0,9.0,15.15,112.72754608216275,112.583,0.75,112.23031381118881,-1.595,-1.098,1
1030F. DrugovichDRUCarlin Buzz Racing,22,40:45.612,16.591,0.694,150.564,1:36.207,17,1002,2019,ROUND1Summary,,,1030,F  Drugovich,DRU,Carlin Buzz Racing,2445.612,96.207,16.591,22.0,10.0,2429.021,94.711,22.0,1.0,16.591,1.496,111.164,1,0,0,0,10.0,13.9,114.91332223624627,113.088,0.5,112.23031381118881,-3.749,-1.066,1
117L. ZendeliZENSauber Junior Team by Charouz,22,40:46.156,17.135,0.544,150.531,1:36.320,18,1002,2019,ROUND1Summary,,,117,L  Zendeli,ZEN,Sauber Junior Team by Charouz,2446.156,96.32,17.135,22.0,11.0,2429.021,94.711,22.0,1.0,17.135,1.609,111.189,1,0,0,0,11.0,14.824,114.0102857753432,112.998,0.25,112.23031381118881,-2.821,-1.041,1
1225S. FernándezFERCampos Racing,22,40:46.761,17.740,0.605,150.493,1:36.224,18,1002,2019,ROUND1Summary,,,1225,S  Fernández,FER,Campos Racing,2446.761,96.224,17.74,22.0,12.0,2429.021,94.711,22.0,1.0,17.74,1.513,111.216,1,0,0,0,12.0,20.278,113.7624530483527,113.319,0.0,112.23031381118881,-2.546,-1.014,1
1310B. ViscaalVISHWA RACELAB,22,40:47.176,18.155,0.415,150.468,1:36.308,18,1002,2019,ROUND1Summary,,,1310,B  Viscaal,VIS,HWA RACELAB,2447.176,96.308,18.155,22.0,13.0,2429.021,94.711,22.0,1.0,18.155,1.597,111.235,1,0,0,0,13.0,14.5,114.208835491008,112.783,0.125,112.23031381118881,-2.974,-0.995,1
1431L. SargeantSARCarlin Buzz Racing,22,40:47.974,18.953,0.798,150.419,1:36.063,12,1002,2019,ROUND1Summary,,,1431,L  Sargeant,SAR,Carlin Buzz Racing,2447.974,96.063,18.953,22.0,14.0,2429.021,94.711,22.0,1.0,18.953,1.352,111.272,1,0,0,0,14.0,13.9,114.91332223624627,115.148,0.5,112.23031381118881,-3.642,-0.959,1
1529T. NatoriNATCarlin Buzz Racing,22,40:49.622,20.601,1.648,150.318,1:36.321,14,1002,2019,ROUND1Summary,,,1529,T  Natori,NAT,Carlin Buzz Racing,2449.622,96.321,20.601,22.0,15.0,2429.021,94.711,22.0,1.0,20.601,1.61,111.346,1,0,0,0,15.0,13.9,114.91332223624627,116.731,0.125,112.23031381118881,-3.567,-0.884,1
1618P. PiquetPIQTrident,22,40:50.218,21.197,0.596,150.281,1:36.184,7,1002,2019,ROUND1Summary,,,1618,P  Piquet,PIQ,Trident,2450.218,96.184,21.197,22.0,16.0,2429.021,94.711,22.0,1.0,21.197,1.473,111.374,1,0,0,0,16.0,12.579,113.57823657516536,112.557,0.375,112.23031381118881,-2.205,-0.857,1
174L. LawsonLAWMP Motorsport,22,40:51.591,22.570,1.373,150.197,1:35.889,20,1002,2019,ROUND1Summary,,,174,L  Lawson,LAW,MP Motorsport,2451.591,95.889,22.57,22.0,17.0,2429.021,94.711,22.0,1.0,22.57,1.178,111.436,1,0,0,0,17.0,13.2,113.14871794229055,113.085,0.625,112.23031381118881,-1.713,-0.794,1
1812K. AndresANDHWA RACELAB,22,40:53.477,24.456,1.886,150.081,1:36.061,20,1002,2019,ROUND1Summary,,,1812,K  Andres,AND,HWA RACELAB,2453.477,96.061,24.456,22.0,18.0,2429.021,94.711,22.0,1.0,24.456,1.35,111.522,1,0,0,0,18.0,14.5,114.208835491008,113.972,0.0,112.23031381118881,-2.687,-0.709,1
196R. VerschoorVERMP Motorsport,22,40:53.853,24.832,0.376,150.058,1:36.162,12,1002,2019,ROUND1Summary,,,196,R  Verschoor,VER,MP Motorsport,2453.853,96.162,24.832,22.0,19.0,2429.021,94.711,22.0,1.0,24.832,1.451,111.539,1,0,0,0,19.0,13.2,113.14871794229055,112.728,0.375,112.23031381118881,-1.61,-0.692,1
2017D. DeFrancescoDEFTrident,22,40:54.389,25.368,0.536,150.026,1:36.086,14,1002,2019,ROUND1Summary,,,2017,D  DeFrancesco,DEF,Trident,2454.389,96.086,25.368,22.0,20.0,2429.021,94.711,22.0,1.0,25.368,1.375,111.563,1,0,0,0,20.0,12.579,113.57823657516536,116.448,0.125,112.23031381118881,-2.015,-0.667,1
2120L. PulciniPULHitech Grand Prix,22,41:00.473,31.452,6.084,149.655,1:35.467,14,1002,2019,ROUND1Summary,,,2120,L  Pulcini,PUL,Hitech Grand Prix,2460.473,95.467,31.452,22.0,21.0,2429.021,94.711,22.0,1.0,31.452,0.756,111.84,1,0,0,0,21.0,10.773,112.84071430093778,112.517,0.625,112.23031381118881,-1.001,-0.391,1
2216A. EstnerESTJenzer Motorsport,22,41:02.881,33.860,2.408,149.508,1:36.548,7,1002,2019,ROUND1Summary,,,2216,A  Estner,EST,Jenzer Motorsport,2462.881,96.548,33.86,22.0,22.0,2429.021,94.711,22.0,1.0,33.86,1.837,111.949,1,0,0,0,22.0,15.15,112.72754608216275,113.39,0.0,112.23031381118881,-0.778,-0.281,1
2324A. DeleddaDELCampos Racing,22,41:07.723,38.702,4.842,149.215,1:36.323,7,1002,2019,ROUND1Summary,,,2324,A  Deledda,DEL,Campos Racing,2467.723,96.323,38.702,22.0,23.0,2429.021,94.711,22.0,1.0,38.702,1.612,112.169,1,0,0,0,23.0,20.278,113.7624530483527,114.616,0.0,112.23031381118881,-1.593,-0.061,1
2423A. PeroniPERCampos Racing,22,41:16.561,47.540,8.838,148.682,1:35.149,16,1002,2019,ROUND1Summary,,,2423,A  Peroni,PER,Campos Racing,2476.561,95.149,47.54,22.0,24.0,2429.021,94.711,22.0,1.0,47.54,0.438,112.571,1,0,0,0,24.0,20.278,113.7624530483527,112.26,0.0,112.23031381118881,-1.191,0.341,1
DNF5S. LaaksonenLAAMP Motorsport,8,16:29.115,DNF,-,135.080,1:36.443,7,1002,2019,ROUND1Summary,,DNF,5,S  Laaksonen,LAA,MP Motorsport,989.115,96.443,,8.0,,2429.021,94.711,22.0,0.364,,1.732,123.639,0,1,0,0,,13.2,113.14871794229055,113.633,0.0,112.23031381118881,10.491,11.409,1
DNF8F. SchererSCHSauber Junior Team by Charouz,8,16:36.235,DNF,-,134.115,1:36.562,7,1002,2019,ROUND1Summary,,DNF,8,F  Scherer,SCH,Sauber Junior Team by Charouz,996.235,96.562,,8.0,,2429.021,94.711,22.0,0.364,,1.851,124.529,0,1,0,0,,14.824,114.0102857753432,114.895,0.25,112.23031381118881,10.519,12.299,1
DNF22Y. YifeiYIFHitech Grand Prix,-,-,DNF,-,-,-,-,1002,2019,ROUND1Summary,,DNF,22,Y  Yifei,YIF,Hitech Grand Prix,,,,,,2429.021,94.711,22.0,,,,,0,1,0,0,,10.773,112.84071430093778,112.964,0.25,112.23031381118881,,,1
DNF9R. HymanHYMSauber Junior Team by Charouz,-,-,DNF,-,-,-,-,1002,2019,ROUND1Summary,,DNF,9,R  Hyman,HYM,Sauber Junior Team by Charouz,,,,,,2429.021,94.711,22.0,,,,,0,1,0,0,,14.824,114.0102857753432,114.012,0.0,112.23031381118881,,,1
DNF11J. HughesHUGHWA RACELAB,-,-,DNF,-,-,-,-,1002,2019,ROUND1Summary,,DNF,11,J  Hughes,HUG,HWA RACELAB,,,,,,2429.021,94.711,22.0,,,,,0,1,0,0,,14.5,114.208835491008,116.109,0.625,112.23031381118881,,,1
DNF15A. PetrovPETJenzer Motorsport,-,-,DNF,-,-,-,-,1002,2019,ROUND1Summary,,DNF,15,A  Petrov,PET,Jenzer Motorsport,,,,,,2429.021,94.711,22.0,,,,,0,1,0,0,,15.15,112.72754608216275,,0.0,112.23031381118881,,,1
128R. ShwartzmanSHWPrema Racing,20,38:04.147,-,-,184.25,1:52.391,15,1003,2019,ROUND2Summary,,,128,R  Shwartzman,SHW,Prema Racing,2284.147,112.391,,20.0,1.0,2284.147,112.171,20.0,1.0,0.0,0.22,114.207,1,0,0,0,1.0,5.455,112.26566403528318,112.245,0.875,116.09433563218391,1.942,-1.887,2
218P. PiquetPIQTrident,20,38:05.626,1.479,1.479,184.13,1:52.759,18,1003,2019,ROUND2Summary,,,218,P  Piquet,PIQ,Trident,2285.626,112.759,1.479,20.0,2.0,2284.147,112.171,20.0,1.0,1.479,0.588,114.281,1,0,0,0,2.0,12.579,113.57823657516536,112.557,0.375,116.09433563218391,0.703,-1.813,2
327J. DaruvalaDARPrema Racing,20,38:06.996,2.849,1.370,184.02,1:52.559,14,1003,2019,ROUND2Summary,,,327,J  Daruvala,DAR,Prema Racing,2286.996,112.559,2.849,20.0,3.0,2284.147,112.171,20.0,1.0,2.849,0.388,114.35,1,0,0,0,3.0,5.455,112.26566403528318,112.404,0.625,116.09433563218391,2.084,-1.745,2
46R. VerschoorVERMP Motorsport,20,38:12.447,8.300,5.451,183.583,1:52.180,19,1003,2019,ROUND2Summary,,,46,R  Verschoor,VER,MP Motorsport,2292.447,112.18,8.3,20.0,4.0,2284.147,112.171,20.0,1.0,8.3,0.009,114.622,1,0,0,0,4.0,13.2,113.14871794229055,112.728,0.375,116.09433563218391,1.474,-1.472,2
626M. ArmstrongARMPrema Racing,20,38:19.288,15.141,6.841,183.036,1:52.171,18,1003,2019,ROUND2Summary,,,626,M  Armstrong,ARM,Prema Racing,2299.288,112.171,15.141,20.0,5.0,2284.147,112.171,20.0,1.0,15.141,0.0,114.964,1,0,0,0,5.0,5.455,112.26566403528318,112.149,0.75,116.09433563218391,2.699,-1.13,2
54L. LawsonLAWMP Motorsport,20,38:20.380,16.233,1.092,182.949,1:52.766,19,1003,2019,ROUND2Summary,,,54,L  Lawson,LAW,MP Motorsport,2300.38,112.766,16.233,20.0,6.0,2284.147,112.171,20.0,1.0,16.233,0.595,115.019,1,0,0,0,6.0,13.2,113.14871794229055,113.085,0.625,116.09433563218391,1.87,-1.075,2
711J. HughesHUGHWA RACELAB,20,38:25.511,21.364,5.131,182.542,1:53.565,13,1003,2019,ROUND2Summary,,,711,J  Hughes,HUG,HWA RACELAB,2305.511,113.565,21.364,20.0,7.0,2284.147,112.171,20.0,1.0,21.364,1.394,115.276,1,0,0,0,7.0,14.5,114.208835491008,116.109,0.625,116.09433563218391,1.067,-0.819,2
831L. SargeantSARCarlin Buzz Racing,20,38:26.060,21.913,0.549,182.499,1:53.733,4,1003,2019,ROUND2Summary,,,831,L  Sargeant,SAR,Carlin Buzz Racing,2306.06,113.733,21.913,20.0,8.0,2284.147,112.171,20.0,1.0,21.913,1.562,115.303,1,0,0,0,8.0,13.9,114.91332223624627,115.148,0.5,116.09433563218391,0.39,-0.791,2
914Y. TsunodaTSUJenzer Motorsport,20,38:27.053,22.906,0.993,182.42,1:53.509,3,1003,2019,ROUND2Summary,,,914,Y  Tsunoda,TSU,Jenzer Motorsport,2307.053,113.509,22.906,20.0,9.0,2284.147,112.171,20.0,1.0,22.906,1.338,115.353,1,0,0,0,9.0,15.15,112.72754608216275,112.583,0.75,116.09433563218391,2.625,-0.742,2
1030F. DrugovichDRUCarlin Buzz Racing,20,38:29.760,25.613,2.707,182.206,1:53.624,5,1003,2019,ROUND2Summary,,,1030,F  Drugovich,DRU,Carlin Buzz Racing,2309.76,113.624,25.613,20.0,10.0,2284.147,112.171,20.0,1.0,25.613,1.453,115.488,1,0,0,0,10.0,13.9,114.91332223624627,113.088,0.5,116.09433563218391,0.575,-0.606,2
1116A. EstnerESTJenzer Motorsport,20,38:29.822,25.675,0.062,182.202,1:53.629,14,1003,2019,ROUND2Summary,,,1116,A  Estner,EST,Jenzer Motorsport,2309.822,113.629,25.675,20.0,11.0,2284.147,112.171,20.0,1.0,25.675,1.458,115.491,1,0,0,0,11.0,15.15,112.72754608216275,113.39,0.0,116.09433563218391,2.764,-0.603,2
1220L. PulciniPULHitech Grand Prix,20,38:30.065,25.918,0.243,182.182,1:53.101,19,1003,2019,ROUND2Summary,,,1220,L  Pulcini,PUL,Hitech Grand Prix,2310.065,113.101,25.918,20.0,12.0,2284.147,112.171,20.0,1.0,25.918,0.93,115.503,1,0,0,0,12.0,10.773,112.84071430093778,112.517,0.625,116.09433563218391,2.663,-0.591,2
139R. HymanHYMSauber Junior Team by Charouz,20,38:33.919,29.772,3.854,181.879,1:53.200,18,1003,2019,ROUND2Summary,,,139,R  Hyman,HYM,Sauber Junior Team by Charouz,2313.919,113.2,29.772,20.0,13.0,2284.147,112.171,20.0,1.0,29.772,1.029,115.696,1,0,0,0,13.0,14.824,114.0102857753432,114.012,0.0,116.09433563218391,1.686,-0.398,2
1423A. PeroniPERCampos Racing,20,38:34.470,30.323,0.551,181.836,1:53.544,2,1003,2019,ROUND2Summary,,,1423,A  Peroni,PER,Campos Racing,2314.47,113.544,30.323,20.0,14.0,2284.147,112.171,20.0,1.0,30.323,1.373,115.723,1,0,0,0,14.0,20.278,113.7624530483527,112.26,0.0,116.09433563218391,1.961,-0.371,2
153C. LundgaardLUNART Grand Prix,20,38:35.588,31.441,1.118,181.748,1:53.801,13,1003,2019,ROUND2Summary,,,153,C  Lundgaard,LUN,ART Grand Prix,2315.588,113.801,31.441,20.0,15.0,2284.147,112.171,20.0,1.0,31.441,1.63,115.779,1,0,0,0,15.0,11.905,113.25568456134658,112.573,0.75,116.09433563218391,2.524,-0.315,2
167L. ZendeliZENSauber Junior Team by Charouz,20,38:36.188,32.041,0.600,181.701,1:53.096,18,1003,2019,ROUND2Summary,,,167,L  Zendeli,ZEN,Sauber Junior Team by Charouz,2316.188,113.096,32.041,20.0,16.0,2284.147,112.171,20.0,1.0,32.041,0.925,115.809,1,0,0,0,16.0,14.824,114.0102857753432,112.998,0.25,116.09433563218391,1.799,-0.285,2
1721J. VipsVIPHitech Grand Prix,20,38:36.746,32.599,0.558,181.657,1:53.202,14,1003,2019,ROUND2Summary,,,1721,J  Vips,VIP,Hitech Grand Prix,2316.746,113.202,32.599,20.0,17.0,2284.147,112.171,20.0,1.0,32.599,1.031,115.837,1,0,0,0,17.0,10.773,112.84071430093778,113.057,0.5,116.09433563218391,2.997,-0.257,2
182M. FewtrellFEWART Grand Prix,20,38:38.105,33.958,1.359,181.551,1:53.707,14,1003,2019,ROUND2Summary,,,182,M  Fewtrell,FEW,ART Grand Prix,2318.105,113.707,33.958,20.0,18.0,2284.147,112.171,20.0,1.0,33.958,1.536,115.905,1,0,0,0,18.0,11.905,113.25568456134658,113.688,0.25,116.09433563218391,2.65,-0.189,2
1912K. AndresANDHWA RACELAB,20,38:38.956,34.809,0.851,181.484,1:53.789,19,1003,2019,ROUND2Summary,,,1912,K  Andres,AND,HWA RACELAB,2318.956,113.789,34.809,20.0,19.0,2284.147,112.171,20.0,1.0,34.809,1.618,115.948,1,0,0,0,19.0,14.5,114.208835491008,113.972,0.0,116.09433563218391,1.739,-0.147,2
2010B. ViscaalVISHWA RACELAB,20,38:38.958,34.811,0.002,181.484,1:53.489,3,1003,2019,ROUND2Summary,,,2010,B  Viscaal,VIS,HWA RACELAB,2318.958,113.489,34.811,20.0,20.0,2284.147,112.171,20.0,1.0,34.811,1.318,115.948,1,0,0,0,20.0,14.5,114.208835491008,112.783,0.125,116.09433563218391,1.739,-0.146,2
2117D. DeFrancescoDEFTrident,20,38:41.648,37.501,2.690,181.273,1:53.599,5,1003,2019,ROUND2Summary,,,2117,D  DeFrancesco,DEF,Trident,2321.648,113.599,37.501,20.0,21.0,2284.147,112.171,20.0,1.0,37.501,1.428,116.082,1,0,0,0,21.0,12.579,113.57823657516536,116.448,0.125,116.09433563218391,2.504,-0.012,2
2222Y. YifeiYIFHitech Grand Prix,20,39:10.199,66.052,28.551,179.071,1:53.360,16,1003,2019,ROUND2Summary,,,2222,Y  Yifei,YIF,Hitech Grand Prix,2350.199,113.36,66.052,20.0,22.0,2284.147,112.171,20.0,1.0,66.052,1.189,117.51,1,0,0,0,22.0,10.773,112.84071430093778,112.964,0.25,116.09433563218391,4.669,1.416,2
2324A. DeleddaDELCampos Racing,20,39:53.120,108.973,42.921,175.86,1:54.231,18,1003,2019,ROUND2Summary,,,2324,A  Deledda,DEL,Campos Racing,2393.12,114.231,108.973,20.0,23.0,2284.147,112.171,20.0,1.0,108.973,2.06,119.656,1,0,0,0,23.0,20.278,113.7624530483527,114.616,0.0,116.09433563218391,5.894,3.562,2
DNF19N. KariKARTrident,18,34:52.242,DNF,-,181.045,1:53.140,14,1003,2019,ROUND2Summary,,DNF,19,N  Kari,KAR,Trident,2092.242,113.14,,18.0,,2284.147,112.171,20.0,0.9,,0.969,116.236,0,1,0,0,,12.579,113.57823657516536,111.73,0.375,116.09433563218391,2.657,0.141,2
DNF5S. LaaksonenLAAMP Motorsport,16,31:28.584,DNF,-,178.297,1:54.172,13,1003,2019,ROUND2Summary,,DNF,5,S  Laaksonen,LAA,MP Motorsport,1888.584,114.172,,16.0,,2284.147,112.171,20.0,0.8,,2.001,118.036,0,1,0,0,,13.2,113.14871794229055,113.633,0.0,116.09433563218391,4.888,1.942,2
DNF25S. FernándezFERCampos Racing,15,29:10.867,DNF,-,180.309,1:54.029,3,1003,2019,ROUND2Summary,,DNF,25,S  Fernández,FER,Campos Racing,1750.867,114.029,,15.0,,2284.147,112.171,20.0,0.75,,1.858,116.724,0,1,0,0,,20.278,113.7624530483527,113.319,0.0,116.09433563218391,2.962,0.63,2
DNF8F. SchererSCHSauber Junior Team by Charouz,11,21:23.172,DNF,-,180.469,1:53.986,4,1003,2019,ROUND2Summary,,DNF,8,F  Scherer,SCH,Sauber Junior Team by Charouz,1283.172,113.986,,11.0,,2284.147,112.171,20.0,0.55,,1.815,116.652,0,1,0,0,,14.824,114.0102857753432,114.895,0.25,116.09433563218391,2.642,0.558,2
DNF29T. NatoriNATCarlin Buzz Racing,5,9:56.585,DNF,-,176.649,1:53.843,3,1003,2019,ROUND2Summary,,DNF,29,T  Natori,NAT,Carlin Buzz Racing,596.585,113.843,,5.0,,2284.147,112.171,20.0,0.25,,1.672,119.317,0,1,0,0,,13.9,114.91332223624627,116.731,0.125,116.09433563218391,4.404,3.223,2
DNF1D. BeckmannBECART Grand Prix,2,4:00.035,DNF,-,176.194,1:54.814,2,1003,2019,ROUND2Summary,,DNF,1,D  Beckmann,BEC,ART Grand Prix,240.035,114.814,,2.0,,2284.147,112.171,20.0,0.1,,2.643,120.018,0,1,0,0,,11.905,113.25568456134658,113.542,0.429,116.09433563218391,6.762,3.923,2
111J. HughesHUGHWA RACELAB,24,34:47.494,-,-,178.501,1:21.458,10,1004,2019,ROUND3Summary,,,111,J  Hughes,HUG,HWA RACELAB,2087.494,81.458,,24.0,1.0,2087.494,81.234,24.0,1.0,0.0,0.224,86.979,1,0,0,0,1.0,14.5,114.208835491008,116.109,0.625,87.77792674603174,-27.23,-0.799,3
227J. DaruvalaDARPrema Racing,24,34:52.221,4.727,4.727,178.098,1:21.654,19,1004,2019,ROUND3Summary,,,227,J  Daruvala,DAR,Prema Racing,2092.221,81.654,4.727,24.0,2.0,2087.494,81.234,24.0,1.0,4.727,0.42,87.176,1,0,0,0,2.0,5.455,112.26566403528318,112.404,0.625,87.77792674603174,-25.09,-0.602,3
328R. ShwartzmanSHWPrema Racing,24,34:52.344,4.850,0.123,178.088,1:21.547,10,1004,2019,ROUND3Summary,,,328,R  Shwartzman,SHW,Prema Racing,2092.344,81.547,4.85,24.0,3.0,2087.494,81.234,24.0,1.0,4.85,0.313,87.181,1,0,0,0,3.0,5.455,112.26566403528318,112.245,0.875,87.77792674603174,-25.085,-0.597,3
42M. FewtrellFEWART Grand Prix,24,34:52.572,5.079,0.229,178.068,1:21.834,20,1004,2019,ROUND3Summary,,,42,M  Fewtrell,FEW,ART Grand Prix,2092.572,81.834,5.079,24.0,4.0,2087.494,81.234,24.0,1.0,5.078,0.6,87.19,1,0,0,0,4.0,11.905,113.25568456134658,113.688,0.25,87.77792674603174,-26.065,-0.587,3
520L. PulciniPULHitech Grand Prix,24,34:53.159,5.666,0.587,178.018,1:21.613,10,1004,2019,ROUND3Summary,,,520,L  Pulcini,PUL,Hitech Grand Prix,2093.159,81.613,5.666,24.0,5.0,2087.494,81.234,24.0,1.0,5.665,0.379,87.215,1,0,0,0,5.0,10.773,112.84071430093778,112.517,0.625,87.77792674603174,-25.626,-0.563,3
621J. VipsVIPHitech Grand Prix,24,34:53.580,6.086,0.420,177.982,1:21.610,15,1004,2019,ROUND3Summary,,,621,J  Vips,VIP,Hitech Grand Prix,2093.58,81.61,6.086,24.0,6.0,2087.494,81.234,24.0,1.0,6.086,0.376,87.232,1,0,0,0,6.0,10.773,112.84071430093778,113.057,0.5,87.77792674603174,-25.608,-0.545,3
77L. ZendeliZENSauber Junior Team by Charouz,24,34:54.199,6.705,0.619,177.93,1:21.660,15,1004,2019,ROUND3Summary,,,77,L  Zendeli,ZEN,Sauber Junior Team by Charouz,2094.199,81.66,6.705,24.0,7.0,2087.494,81.234,24.0,1.0,6.705,0.426,87.258,1,0,0,0,7.0,14.824,114.0102857753432,112.998,0.25,87.77792674603174,-26.752,-0.52,3
819N. KariKARTrident,24,34:55.262,7.768,1.063,177.84,1:21.518,16,1004,2019,ROUND3Summary,,,819,N  Kari,KAR,Trident,2095.262,81.518,7.768,24.0,8.0,2087.494,81.234,24.0,1.0,7.768,0.284,87.303,1,0,0,0,8.0,12.579,113.57823657516536,111.73,0.375,87.77792674603174,-26.276,-0.475,3
917D. DeFrancescoDEFTrident,24,34:56.407,8.913,1.145,177.742,1:21.710,15,1004,2019,ROUND3Summary,,,917,D  DeFrancesco,DEF,Trident,2096.407,81.71,8.913,24.0,9.0,2087.494,81.234,24.0,1.0,8.913,0.476,87.35,1,0,0,0,9.0,12.579,113.57823657516536,116.448,0.125,87.77792674603174,-26.228,-0.428,3
101D. BeckmannBECART Grand Prix,24,34:57.666,10.172,1.259,177.636,1:21.968,16,1004,2019,ROUND3Summary,,,101,D  Beckmann,BEC,ART Grand Prix,2097.666,81.968,10.172,24.0,10.0,2087.494,81.234,24.0,1.0,10.172,0.734,87.403,1,0,0,0,10.0,11.905,113.25568456134658,113.542,0.429,87.77792674603174,-25.853,-0.375,3
1114Y. TsunodaTSUJenzer Motorsport,24,34:58.210,10.716,0.544,177.59,1:21.636,15,1004,2019,ROUND3Summary,,,1114,Y  Tsunoda,TSU,Jenzer Motorsport,2098.21,81.636,10.716,24.0,11.0,2087.494,81.234,24.0,1.0,10.716,0.402,87.425,1,0,0,0,11.0,15.15,112.72754608216275,112.583,0.75,87.77792674603174,-25.302,-0.353,3
126R. VerschoorVERMP Motorsport,24,34:59.864,12.370,1.654,177.45,1:21.631,15,1004,2019,ROUND3Summary,,,126,R  Verschoor,VER,MP Motorsport,2099.864,81.631,12.37,24.0,12.0,2087.494,81.234,24.0,1.0,12.37,0.397,87.494,1,0,0,0,12.0,13.2,113.14871794229055,112.728,0.375,87.77792674603174,-25.654,-0.284,3
1312K. AndresANDHWA RACELAB,24,35:01.809,14.315,1.945,177.286,1:21.644,20,1004,2019,ROUND3Summary,,,1312,K  Andres,AND,HWA RACELAB,2101.809,81.644,14.315,24.0,13.0,2087.494,81.234,24.0,1.0,14.315,0.41,87.575,1,0,0,0,13.0,14.5,114.208835491008,113.972,0.0,87.77792674603174,-26.633,-0.203,3
1430F. DrugovichDRUCarlin Buzz Racing,24,35:02.240,14.746,0.431,177.249,1:22.074,9,1004,2019,ROUND3Summary,,,1430,F  Drugovich,DRU,Carlin Buzz Racing,2102.24,82.074,14.746,24.0,14.0,2087.494,81.234,24.0,1.0,14.746,0.84,87.593,1,0,0,0,14.0,13.9,114.91332223624627,113.088,0.5,87.77792674603174,-27.32,-0.185,3
1518P. PiquetPIQTrident,24,35:02.917,15.423,0.677,177.192,1:21.422,20,1004,2019,ROUND3Summary,,,1518,P  Piquet,PIQ,Trident,2102.917,81.422,15.423,24.0,15.0,2087.494,81.234,24.0,1.0,15.423,0.188,87.622,1,0,0,0,15.0,12.579,113.57823657516536,112.557,0.375,87.77792674603174,-25.957,-0.156,3
