series,year,driver_name,driver_code,team_name,n_races,total_points,avg_points,avg_finish,best_finish,worst_finish,wins,win_rate,podiums,podium_rate,points_finishes,points_rate,top10_finishes,top10_rate,total_laps,avg_kph,avg_best_lap_s,finish_std,points_std,dnf_count,dnf_rate
F3,2020,A  Estner,EST,Campos Racing,1,,,24.0,24,24,0,0.0,0,0.0,,,0,0.0,17.0,184.26,130.219,,,,
F3,2020,A  Peroni,PER,Campos Racing,9,,,13.222222222222221,2,28,0,0.0,1,0.1111111111111111,,,3,0.3333333333333333,178.0,171.891,101.54144444444444,8.96908269804914,,,
F3,2020,A  Smolyar,SMO,ART Grand Prix,9,,,12.444444444444445,7,24,0,0.0,0,0.0,,,5,0.5555555555555556,192.0,170.48322222222222,101.42266666666666,5.479760740924532,,,
F3,2020,B  Barnicoat,BAR,Carlin Buzz Racing,2,,,8.5,3,14,0,0.0,1,0.5,,,1,0.5,30.0,169.3105,107.15350000000001,7.7781745930520225,,,
F3,2020,B  Viscaal,VIS,MP Motorsport,9,,,17.444444444444443,5,22,0,0.0,0,0.0,,,1,0.1111111111111111,192.0,169.95066666666668,101.61866666666667,5.433946795633703,,,
F3,2020,C  Das,DAS,Carlin Buzz Racing,9,,,18.444444444444443,1,28,1,0.1111111111111111,2,0.2222222222222222,,,2,0.2222222222222222,168.0,169.48566666666667,102.5791111111111,10.44163673845139,,,
F3,2020,C  Novalak,NOV,Carlin Buzz Racing,9,,,13.0,4,28,0,0.0,0,0.0,,,3,0.3333333333333333,179.0,168.5758888888889,101.77966666666666,7.937253933193771,,,
F3,2020,C  Williams,WIL,Jenzer Motorsport,9,,,22.88888888888889,16,30,0,0.0,0,0.0,,,0,0.0,172.0,168.327,101.045875,5.622375931144333,,,
F3,2020,D  Beckmann,BEC,Trident,9,,,6.222222222222222,1,12,1,0.1111111111111111,3,0.3333333333333333,,,7,0.7777777777777778,177.0,170.00511111111112,101.4071111111111,3.80058475033046,,,
F3,2020,D  Hauger,HAU,Hitech Grand Prix,9,,,19.444444444444443,8,27,0,0.0,0,0.0,,,1,0.1111111111111111,189.0,167.05266666666665,101.782,6.287112037953338,,,
F3,2020,D  Schumacher,SCH,Carlin Buzz Racing,3,,,13.333333333333334,3,19,0,0.0,1,0.3333333333333333,,,1,0.3333333333333333,47.0,188.89166666666665,109.50766666666668,8.962886439832502,,,
F3,2020,D  Schumacher,SCH,Charouz Racing System,6,,,17.0,1,28,1,0.16666666666666666,1,0.16666666666666666,,,1,0.16666666666666666,113.0,155.0465,96.28880000000001,8.876936408468858,,,
F3,2020,E  Ahmed,AHM,Carlin Buzz Racing,3,,,23.666666666666668,19,26,0,0.0,0,0.0,,,0,0.0,70.0,152.69,93.238,4.041451884327381,,,
F3,2020,E  Fittipaldi,FIT,HWA RACELAB,9,,,15.88888888888889,4,29,0,0.0,0,0.0,,,2,0.2222222222222222,192.0,169.50188888888889,101.62377777777778,7.321960878829599,,,
F3,2020,F  Malvestiti,MAL,Jenzer Motorsport,9,,,18.77777777777778,2,28,0,0.0,1,0.1111111111111111,,,2,0.2222222222222222,181.0,169.18866666666665,102.17844444444444,9.510228411791404,,,
F3,2020,F  Vesti,VES,PREMA Racing,9,,,9.444444444444445,4,23,0,0.0,0,0.0,,,6,0.6666666666666666,180.0,170.4831111111111,101.63322222222222,5.833333333333333,,,
F3,2020,I  Fraga,FRA,Charouz Racing System,8,,,15.625,1,29,1,0.125,2,0.25,,,2,0.25,134.0,165.31725,101.06642857142857,10.26697201153847,,,
F3,2020,J  Doohan,DOO,HWA RACELAB,9,,,21.0,1,30,1,0.1111111111111111,1,0.1111111111111111,,,1,0.1111111111111111,168.0,155.52877777777778,98.544625,9.656603957913983,,,
F3,2020,J  Hughes,HUG,HWA RACELAB,9,,,12.333333333333334,4,24,0,0.0,0,0.0,,,3,0.3333333333333333,188.0,171.02366666666666,101.47066666666666,6.652067347825035,,,
F3,2020,L  Dunner,DUN,MP Motorsport,9,,,20.11111111111111,1,30,1,0.1111111111111111,1,0.1111111111111111,,,1,0.1111111111111111,129.0,160.88785714285714,99.57283333333334,8.809716857601675,,,
F3,2020,L  Lawson,LAW,Hitech Grand Prix,9,,,5.666666666666667,1,9,1,0.1111111111111111,4,0.4444444444444444,,,9,1.0,173.0,172.032,101.52600000000001,3.2015621187164243,,,
F3,2020,L  Pulcini,PUL,Carlin Buzz Racing,1,,,26.0,26,26,0,0.0,0,0.0,,,0,0.0,22.0,151.779,97.601,,,,
F3,2020,L  Sargeant,SAR,PREMA Racing,9,,,10.777777777777779,4,28,0,0.0,0,0.0,,,7,0.7777777777777778,157.0,165.864125,101.58875,9.614803401237305,,,
F3,2020,L  Zendeli,ZEN,Trident,9,,,14.222222222222221,6,27,0,0.0,0,0.0,,,2,0.2222222222222222,171.0,169.316125,101.976375,6.759766596891082,,,
F3,2020,M  Belov,BEL,Charouz Racing System,3,,,15.333333333333334,3,23,0,0.0,1,0.3333333333333333,,,1,0.3333333333333333,54.0,183.904,110.193,10.785793124908958,,,
F3,2020,M  Fewtrell,FEW,Hitech Grand Prix,6,,,17.833333333333332,11,30,0,0.0,0,0.0,,,0,0.0,110.0,162.29059999999998,98.2944,7.1110243050257305,,,
F3,2020,M  Nannini,NAN,Jenzer Motorsport,9,,,21.88888888888889,5,30,0,0.0,0,0.0,,,1,0.1111111111111111,173.0,154.605,105.05766666666666,8.053639618899712,,,
F3,2020,O  Caldwell,CAL,Trident,9,,,20.333333333333332,10,29,0,0.0,0,0.0,,,1,0.1111111111111111,170.0,171.942375,102.483875,6.670832032063167,,,
F3,2020,O  Piastri,PIA,PREMA Racing,9,,,6.555555555555555,2,10,0,0.0,3,0.3333333333333333,,,9,1.0,170.0,169.15800000000002,101.17977777777779,3.3582402799349804,,,
F3,2020,P  Chovet,CHO,Hitech Grand Prix,2,,,7.5,2,13,0,0.0,1,0.5,,,1,0.5,25.0,193.941,115.488,7.7781745930520225,,,
F3,2020,R  Stanek,STA,Charouz Racing System,9,,,21.444444444444443,14,29,0,0.0,0,0.0,,,0,0.0,192.0,169.64822222222222,102.259,4.447221354708778,,,
F3,2020,R  Verschoor,VER,MP Motorsport,9,,,10.222222222222221,4,22,0,0.0,0,0.0,,,6,0.6666666666666666,192.0,170.43533333333335,101.58733333333333,5.717905599469481,,,
