series,year,driver_name,driver_code,team_name,n_races,total_points,avg_points,avg_finish,best_finish,worst_finish,wins,win_rate,podiums,podium_rate,points_finishes,points_rate,top10_finishes,top10_rate,total_laps,avg_kph,finish_std,points_std,dnf_count,dnf_rate,avg_best_lap_s
F2,2020,G  Alesi,ALE,BWT HWA RACELAB,12,9.0,0.75,16.416666666666668,6,22,0,0.0,0,0.0,2.0,0.1666666666666666,2,0.1666666666666666,275.0,183.37058333333337,4.9810245994781095,2.3011854652449344,3.0,0.25,97.49227272727272
F2,2020,M  Armstrong,ARM,ART Grand Prix,12,32.0,2.6666666666666665,12.0,3,22,0,0.0,1,0.0833333333333333,5.0,0.4166666666666667,5,0.4166666666666667,274.0,184.97736363636363,5.5432186252458715,5.15810630038395,2.0,0.1666666666666666,95.5370909090909
F2,2020,R  Boschung,BOS,Campos Racing,1,0.0,0.0,22.0,22,22,0,0.0,0,0.0,0.0,0.0,0,0.0,9.0,183.261,,,1.0,1.0,65.507
F2,2020,J  Daruvala,DAR,Carlin,12,64.0,5.333333333333333,10.416666666666666,1,21,1,0.0833333333333333,1,0.0833333333333333,8.0,0.6666666666666666,8,0.6666666666666666,308.0,183.15916666666664,6.374071530724132,7.438637868140465,1.0,0.0833333333333333,95.44716666666666
F2,2020,L  Delétraz,DEL,Charouz Racing System,12,103.0,8.583333333333334,7.083333333333333,2,18,0,0.0,4,0.3333333333333333,9.0,0.75,9,0.75,324.0,183.96641666666665,5.160308893737649,7.279589565519766,0.0,0.0,95.19675
F2,2020,F  Drugovich,DRU,MP Motorsport,12,47.0,3.9166666666666665,11.833333333333334,1,20,1,0.0833333333333333,1,0.0833333333333333,5.0,0.4166666666666667,5,0.4166666666666667,297.0,177.30175,5.905826604192497,7.216878364870322,2.0,0.1666666666666666,94.02336363636364
F2,2020,S  Gelael,GEL,DAMS,8,6.0,0.75,16.5,7,22,0,0.0,0,0.0,1.0,0.125,1,0.125,166.0,172.647,5.154748157905347,2.1213203435596424,4.0,0.5,92.60285714285716
F2,2020,L  Ghiotto,GHI,Hitech Grand Prix,12,69.0,5.75,10.916666666666666,1,21,1,0.0833333333333333,2,0.1666666666666666,8.0,0.6666666666666666,8,0.6666666666666666,278.0,181.22966666666665,7.304523297660198,8.280590668435545,3.0,0.25,95.845
F2,2020,J  Hughes,HUG,BWT HWA RACELAB,1,0.0,0.0,12.0,12,12,0,0.0,0,0.0,0.0,0.0,0,0.0,28.0,176.254,,,0.0,0.0,113.103
F2,2020,C  Ilott,ILO,UNI-Virtuosi,12,81.0,6.75,8.25,2,21,0,0.0,2,0.1666666666666666,10.0,0.8333333333333334,10,0.8333333333333334,317.0,185.23766666666663,5.4958662151243685,6.032111043106188,1.0,0.0833333333333333,95.13116666666669
F2,2020,C  Lundgaard,LUN,ART Grand Prix,12,101.0,8.416666666666666,9.5,1,22,2,0.1666666666666666,4,0.3333333333333333,6.0,0.5,6,0.5,295.0,184.20336363636363,7.633657529174811,10.058540770123786,1.0,0.0833333333333333,93.59245454545454
F2,2020,A  Markelov,MAR,BWT HWA RACELAB,12,1.0,0.0833333333333333,15.0,10,20,0,0.0,0,0.0,1.0,0.0833333333333333,1,0.0833333333333333,323.0,181.69925,3.4641016151377544,0.2886751345948128,0.0,0.0,95.64441666666666
F2,2020,N  Matsushita,MAT,MP Motorsport,9,39.0,4.333333333333333,11.666666666666666,1,22,1,0.1111111111111111,1,0.1111111111111111,3.0,0.3333333333333333,3,0.3333333333333333,217.0,185.20433333333332,6.442049363362563,8.336666000266533,1.0,0.1111111111111111,95.65266666666668
F2,2020,N  Mazepin,MAZ,Hitech Grand Prix,12,73.0,6.083333333333333,9.083333333333334,2,22,0,0.0,2,0.1666666666666666,9.0,0.75,9,0.75,318.0,180.21225,6.052172162024795,6.584531920042654,0.0,0.0,95.23033333333332
F2,2020,R  Nissany,NIS,Trident,12,7.0,0.5833333333333334,14.833333333333334,8,20,0,0.0,0,0.0,3.0,0.25,3,0.25,292.0,178.04208333333335,4.152399817265222,1.2401124093721456,2.0,0.1666666666666666,94.01445454545456
F2,2020,P  Piquet,PIQ,Charouz Racing System,12,0.0,0.0,14.333333333333334,11,19,0,0.0,0,0.0,0.0,0.0,0,0.0,322.0,183.06425,2.4984843890695503,0.0,1.0,0.0833333333333333,95.49666666666668
F2,2020,T  Pourchaire,POU,BWT HWA RACELAB,2,0.0,0.0,21.5,21,22,0,0.0,0,0.0,0.0,0.0,0,0.0,38.0,180.7305,0.7071067811865476,0.0,1.0,0.5,86.6125
F2,2020,G  Samaia,SAM,Campos Racing,12,0.0,0.0,17.833333333333332,15,21,0,0.0,0,0.0,0.0,0.0,0,0.0,312.0,179.94458333333333,2.3290003057626296,0.0,2.0,0.1666666666666666,96.01216666666666
F2,2020,M  Sato,SAT,Trident,12,4.0,0.3333333333333333,15.333333333333334,8,21,0,0.0,0,0.0,1.0,0.0833333333333333,1,0.0833333333333333,297.0,177.55516666666665,3.961940143032161,1.1547005383792517,1.0,0.0833333333333333,97.72854545454544
F2,2020,M  Schumacher,SCH,PREMA Racing,12,130.0,10.833333333333334,7.083333333333333,1,19,2,0.1666666666666666,5,0.4166666666666667,9.0,0.75,9,0.75,309.0,183.79708333333335,6.41671585970911,9.023538243075295,1.0,0.0833333333333333,95.31633333333332
F2,2020,R  Shwartzman,SHW,PREMA Racing,12,91.0,7.583333333333333,8.166666666666666,1,22,1,0.0833333333333333,2,0.1666666666666666,8.0,0.6666666666666666,8,0.6666666666666666,296.0,183.1191818181818,5.96708141439855,8.284249385357002,1.0,0.0833333333333333,96.658
F2,2020,D  Ticktum,TIC,DAMS,12,96.0,8.0,8.25,1,22,1,0.0833333333333333,4,0.3333333333333333,9.0,0.75,9,0.75,319.0,181.53816666666668,6.311965548932369,8.377458933460563,0.0,0.0,94.98083333333334
F2,2020,Y  Tsunoda,TSU,Carlin,12,110.0,9.166666666666666,9.916666666666666,1,22,2,0.1666666666666666,4,0.3333333333333333,6.0,0.5,6,0.5,284.0,182.646,8.404093519160046,10.347009522591833,2.0,0.1666666666666666,94.474
F2,2020,J  Vips,VIP,DAMS,4,15.0,3.75,11.5,3,21,0,0.0,1,0.25,1.0,0.25,1,0.25,78.0,198.98633333333336,7.371114795831994,7.5,1.0,0.25,103.88733333333334
F2,2020,G  Zhou,ZHO,UNI-Virtuosi,12,95.0,7.916666666666667,6.416666666666667,3,14,0,0.0,1,0.0833333333333333,11.0,0.9166666666666666,11,0.9166666666666666,324.0,184.23883333333333,3.028901190901153,4.601547829181222,0.0,0.0,95.24816666666668
F3,2020,E  Ahmed,AHM,Carlin Buzz Racing,3,,,23.666666666666668,19,26,0,0.0,0,0.0,,,0,0.0,70.0,152.69,4.041451884327381,,,,93.238
F3,2020,B  Barnicoat,BAR,Carlin Buzz Racing,2,,,8.5,3,14,0,0.0,1,0.5,,,1,0.5,30.0,169.3105,7.7781745930520225,,,,107.1535
F3,2020,D  Beckmann,BEC,Trident,9,,,6.222222222222222,1,12,1,0.1111111111111111,3,0.3333333333333333,,,7,0.7777777777777778,177.0,170.00511111111112,3.80058475033046,,,,101.4071111111111
F3,2020,M  Belov,BEL,Charouz Racing System,3,,,15.333333333333334,3,23,0,0.0,1,0.3333333333333333,,,1,0.3333333333333333,54.0,183.904,10.785793124908958,,,,110.193
F3,2020,O  Caldwell,CAL,Trident,9,,,20.333333333333332,10,29,0,0.0,0,0.0,,,1,0.1111111111111111,170.0,171.942375,6.670832032063167,,,,102.483875
F3,2020,P  Chovet,CHO,Hitech Grand Prix,2,,,7.5,2,13,0,0.0,1,0.5,,,1,0.5,25.0,193.941,7.7781745930520225,,,,115.488
F3,2020,C  Das,DAS,Carlin Buzz Racing,9,,,18.444444444444443,1,28,1,0.1111111111111111,2,0.2222222222222222,,,2,0.2222222222222222,168.0,169.48566666666667,10.44163673845139,,,,102.5791111111111
F3,2020,A  Deledda,DEL,Campos Racing,9,,,20.88888888888889,1,30,1,0.1111111111111111,2,0.2222222222222222,,,2,0.2222222222222222,157.0,156.97333333333333,11.229920351948676,,,,106.825875
F3,2020,J  Doohan,DOO,HWA RACELAB,9,,,21.0,1,30,1,0.1111111111111111,1,0.1111111111111111,,,1,0.1111111111111111,168.0,155.52877777777778,9.656603957913983,,,,98.544625
F3,2020,L  Dunner,DUN,MP Motorsport,9,,,20.11111111111111,1,30,1,0.1111111111111111,1,0.1111111111111111,,,1,0.1111111111111111,129.0,160.88785714285714,8.809716857601675,,,,99.57283333333334
F3,2020,A  Estner,EST,Campos Racing,1,,,24.0,24,24,0,0.0,0,0.0,,,0,0.0,17.0,184.26,,,,,130.219
F3,2020,S  Fernández,FER,ART Grand Prix,9,,,15.11111111111111,8,24,0,0.0,0,0.0,,,1,0.1111111111111111,192.0,170.08855555555556,4.400126260814695,,,,101.73588888888888
F3,2020,M  Fewtrell,FEW,Hitech Grand Prix,6,,,17.833333333333332,11,30,0,0.0,0,0.0,,,0,0.0,110.0,162.29059999999998,7.1110243050257305,,,,98.2944
F3,2020,S  Floersch,FLO,Campos Racing,8,,,19.0,1,25,1,0.125,1,0.125,,,1,0.125,161.0,170.442,7.727501906456298,,,,98.825
F3,2020,I  Fraga,FRA,Charouz Racing System,8,,,15.625,1,29,1,0.125,2,0.25,,,2,0.25,134.0,165.31725,10.26697201153847,,,,101.06642857142856
F3,2020,D  Hauger,HAU,Hitech Grand Prix,9,,,19.444444444444443,8,27,0,0.0,0,0.0,,,1,0.1111111111111111,189.0,167.05266666666665,6.287112037953338,,,,101.782
F3,2020,J  Hughes,HUG,HWA RACELAB,9,,,12.333333333333334,4,24,0,0.0,0,0.0,,,3,0.3333333333333333,188.0,171.02366666666666,6.652067347825035,,,,101.47066666666666
F3,2020,L  Lawson,LAW,Hitech Grand Prix,9,,,5.666666666666667,1,9,1,0.1111111111111111,4,0.4444444444444444,,,9,1.0,173.0,172.032,3.2015621187164243,,,,101.526
F3,2020,F  Malvestiti,MAL,Jenzer Motorsport,9,,,18.77777777777778,2,28,0,0.0,1,0.1111111111111111,,,2,0.2222222222222222,181.0,169.18866666666665,9.510228411791404,,,,102.17844444444444
F3,2020,M  Nannini,NAN,Jenzer Motorsport,9,,,21.88888888888889,5,30,0,0.0,0,0.0,,,1,0.1111111111111111,173.0,154.605,8.053639618899712,,,,105.05766666666666
F3,2020,C  Novalak,NOV,Carlin Buzz Racing,9,,,13.0,4,28,0,0.0,0,0.0,,,3,0.3333333333333333,179.0,168.5758888888889,7.937253933193771,,,,101.77966666666666
F3,2020,A  Peroni,PER,Campos Racing,9,,,13.22222222222222,2,28,0,0.0,1,0.1111111111111111,,,3,0.3333333333333333,178.0,171.891,8.96908269804914,,,,101.54144444444444
F3,2020,O  Piastri,PIA,PREMA Racing,9,,,6.555555555555555,2,10,0,0.0,3,0.3333333333333333,,,9,1.0,170.0,169.15800000000002,3.3582402799349804,,,,101.1797777777778
F3,2020,T  Pourchaire,POU,ART Grand Prix,9,,,10.11111111111111,3,30,0,0.0,1,0.1111111111111111,,,7,0.7777777777777778,192.0,170.4078888888889,7.849274559544412,,,,101.37122222222224
F3,2020,L  Pulcini,PUL,Carlin Buzz Racing,1,,,26.0,26,26,0,0.0,0,0.0,,,0,0.0,22.0,151.779,,,,,97.601
F3,2020,L  Sargeant,SAR,PREMA Racing,9,,,10.77777777777778,4,28,0,0.0,0,0.0,,,7,0.7777777777777778,157.0,165.864125,9.614803401237303,,,,101.58875
F3,2020,D  Schumacher,SCH,Charouz Racing System,6,,,17.0,1,28,1,0.1666666666666666,1,0.1666666666666666,,,1,0.1666666666666666,113.0,155.0465,8.876936408468858,,,,96.2888
F3,2020,A  Smolyar,SMO,ART Grand Prix,9,,,12.444444444444445,7,24,0,0.0,0,0.0,,,5,0.5555555555555556,192.0,170.48322222222222,5.479760740924532,,,,101.42266666666666
F3,2020,R  Stanek,STA,Charouz Racing System,9,,,21.444444444444443,14,29,0,0.0,0,0.0,,,0,0.0,192.0,169.64822222222222,4.447221354708778,,,,102.259
F3,2020,R  Verschoor,VER,MP Motorsport,9,,,10.22222222222222,4,22,0,0.0,0,0.0,,,6,0.6666666666666666,192.0,170.43533333333335,5.717905599469481,,,,101.58733333333332
