series,year,driver_name,driver_code,team_name,n_races,total_points,avg_points,avg_finish,best_finish,worst_finish,wins,win_rate,podiums,podium_rate,points_finishes,points_rate,top10_finishes,top10_rate,total_laps,avg_kph,finish_std,points_std,dnf_count,dnf_rate,avg_best_lap_s
F2,2023,A  Cordeel,ACO,Invicta Virtuosi Racing,13,8.0,0.6153846153846154,16.46153846153846,8,22,0,0.0,0,0.0,2.0,0.1538461538461538,2,0.1538461538461538,387.0,166.44392307692306,4.6118576267303375,1.5021352323976214,1.0,0.0769230769230769,98.39323076923075
F2,2023,P  Aron,ARO,Trident,1,0.0,0.0,18.0,18,18,0,0.0,0,0.0,0.0,0.0,0,0.0,32.0,178.363,,,0.0,0.0,99.55
F2,2023,O  Bearman,BEA,PREMA Racing,13,96.0,7.384615384615385,9.76923076923077,1,21,3,0.2307692307692307,3,0.2307692307692307,7.0,0.5384615384615384,7,0.5384615384615384,392.0,167.55584615384618,6.784220001270671,10.484420676559909,2.0,0.1538461538461538,97.59192307692308
F2,2023,B  Benavides,BEN,PHM Racing by Charouz,9,0.0,0.0,18.0,12,22,0,0.0,0,0.0,0.0,0.0,0,0.0,255.0,164.25044444444444,3.774917217635375,0.0,2.0,0.2222222222222222,95.791125
F2,2023,R  Boschung,BOS,Campos Racing,13,21.0,1.6153846153846154,14.846153846153848,2,21,0,0.0,1,0.0769230769230769,3.0,0.2307692307692307,3,0.2307692307692307,408.0,167.34753846153848,5.209704947597863,4.9588046533155135,2.0,0.1538461538461538,98.471
F2,2023,F  Colapinto,COL,MP Motorsport,1,0.0,0.0,22.0,22,22,0,0.0,0,0.0,0.0,0.0,0,0.0,15.0,144.341,,,1.0,1.0,100.486
F2,2023,J  Crawford,CRA,Hitech Pulse-Eight,13,24.0,1.8461538461538465,12.461538461538462,3,22,0,0.0,1,0.0769230769230769,6.0,0.4615384615384615,6,0.4615384615384615,390.0,171.5816923076923,4.926381102719396,4.119995021157061,3.0,0.2307692307692307,98.121
F2,2023,J  Daruvala,DAR,MP Motorsport,12,38.0,3.1666666666666665,11.416666666666666,3,18,0,0.0,1,0.0833333333333333,5.0,0.4166666666666667,5,0.4166666666666667,386.0,167.76883333333333,5.035480176314927,4.951277765905637,1.0,0.0833333333333333,97.48266666666666
F2,2023,J  Doohan,DOO,Invicta Virtuosi Racing,13,137.0,10.538461538461538,8.153846153846153,1,22,3,0.2307692307692307,4,0.3076923076923077,9.0,0.6923076923076923,9,0.6923076923076923,374.0,174.49708333333334,7.459291229133345,9.946652574403986,2.0,0.1538461538461538,98.34225
F2,2023,E  Fittipaldi,FIT,Carlin,13,95.0,7.3076923076923075,8.461538461538462,2,21,0,0.0,3,0.2307692307692307,10.0,0.7692307692307693,10,0.7692307692307693,401.0,173.39092307692306,6.239863575103021,6.549613415876994,2.0,0.1538461538461538,97.52715384615384
