series,year,driver_name,driver_code,team_name,n_races,total_points,avg_points,avg_finish,best_finish,worst_finish,wins,win_rate,podiums,podium_rate,points_finishes,points_rate,top10_finishes,top10_rate,total_laps,avg_kph,finish_std,points_std,dnf_count,dnf_rate,avg_best_lap_s
F2,2021,L  Zendeli,ZEN,MP Motorsport,6,8.0,1.3333333333333333,12.5,8,20,0,0.0,0,0.0,4.0,0.6666666666666666,4,0.6666666666666666,167.0,171.164,5.128352561983234,1.505545305418162,1.0,0.1666666666666666,103.21933333333334
F2,2021,G  Zhou,ZHO,UNI-Virtuosi,8,100.0,12.5,6.625,1,21,2,0.25,4,0.5,6.0,0.75,6,0.75,214.0,171.76214285714286,7.1501748230375455,10.447145885018411,1.0,0.125,101.152
F3,2021,A  Cordeel,ACO,Campos Racing,7,,,19.714285714285715,1,29,1,0.1428571428571428,1,0.1428571428571428,,,1,0.1428571428571428,141.0,162.72885714285715,9.810101693565429,,,,110.02885714285716
F3,2021,O  Caldwell,CAL,PREMA Racing,7,,,9.0,1,16,1,0.1428571428571428,1,0.1428571428571428,,,3,0.4285714285714285,126.0,163.09471428571428,5.656854249492381,,,,110.02114285714286
F3,2021,C  Collet,CCO,MP Motorsport,7,,,12.0,5,30,0,0.0,0,0.0,,,5,0.7142857142857143,124.0,162.69333333333333,9.201449161228174,,,,107.81383333333332
F3,2021,Z  Chovanec,CHO,Charouz Racing System,3,,,25.0,24,26,0,0.0,0,0.0,,,0,0.0,58.0,170.25333333333333,1.0,,,,118.04533333333332
F3,2021,I  Cohen,COH,Carlin Buzz,7,,,15.714285714285714,1,27,1,0.1428571428571428,2,0.2857142857142857,,,2,0.2857142857142857,137.0,162.62385714285713,10.193368525897704,,,,110.15328571428572
F3,2021,J  Crawford,CRA,Hitech Grand Prix,7,,,15.714285714285714,9,29,0,0.0,0,0.0,,,2,0.2857142857142857,144.0,163.53771428571432,7.040698017343775,,,,109.32928571428572
F3,2021,R  de Gerus,DEG,Charouz Racing System,4,,,22.5,19,24,0,0.0,0,0.0,,,0,0.0,86.0,156.76875,2.380476142847616,,,,102.34225
F3,2021,J  Doohan,DOO,Trident,7,,,7.428571428571429,2,27,0,0.0,2,0.2857142857142857,,,6,0.8571428571428571,143.0,164.20242857142856,8.791229395580249,,,,108.70514285714286
F3,2021,J  Edgar,EDG,Carlin Buzz,7,,,14.571428571428571,1,20,1,0.1428571428571428,1,0.1428571428571428,,,1,0.1428571428571428,139.0,163.3097142857143,6.451282633635548,,,,110.626
F3,2021,E  Fittipaldi,FIT,Charouz Racing System,4,,,15.75,12,20,0,0.0,0,0.0,,,0,0.0,86.0,157.4855,3.5,,,,104.26325
F3,2021,K  Frederick,FRE,Carlin Buzz,4,,,22.25,17,29,0,0.0,0,0.0,,,0,0.0,85.0,166.07,5.123475382979799,,,,107.727
F3,2021,D  Hauger,HAU,PREMA Racing,7,,,7.857142857142857,1,29,1,0.1428571428571428,2,0.2857142857142857,,,6,0.8571428571428571,144.0,164.43757142857143,9.633769968684316,,,,108.443
F3,2021,J  Hoggard,HOG,Jenzer Motorsport,6,,,19.833333333333332,10,28,0,0.0,0,0.0,,,1,0.1666666666666666,122.0,162.55083333333332,5.980523945831726,,,,111.606
F3,2021,J  Hughes,HUG,Carlin Buzz,1,,,16.0,16,16,0,0.0,0,0.0,,,0,0.0,20.0,130.118,,,,,108.37
F3,2021,A  Iwasa,IWA,Hitech Grand Prix,7,,,12.714285714285714,8,16,0,0.0,0,0.0,,,2,0.2857142857142857,144.0,164.1692857142857,2.811540841738193,,,,109.63785714285714
F3,2021,J  Correa,JCO,ART Grand Prix,7,,,17.857142857142858,12,29,0,0.0,0,0.0,,,0,0.0,144.0,163.57571428571427,5.814595756329395,,,,109.621
F3,2021,L  Colombo,LCO,Campos Racing,7,,,16.428571428571427,2,28,0,0.0,1,0.1428571428571428,,,1,0.1428571428571428,140.0,162.32199999999995,8.059303999253347,,,,109.485
F3,2021,A  Leclerc,LEC,PREMA Racing,7,,,9.857142857142858,2,16,0,0.0,1,0.1428571428571428,,,2,0.2857142857142857,133.0,166.7634285714286,4.775931721614517,,,,108.85242857142858
F3,2021,V  Martins,MAR,MP Motorsport,7,,,13.571428571428571,3,30,0,0.0,1,0.1428571428571428,,,3,0.4285714285714285,144.0,164.20885714285714,10.469911538262757,,,,108.68828571428573
F3,2021,M  Nannini,NAN,HWA RACELAB,7,,,20.0,3,30,0,0.0,1,0.1428571428571428,,,2,0.2857142857142857,144.0,161.89014285714285,10.770329614269007,,,,108.60171428571428
F3,2021,C  Novalak,NOV,Trident,7,,,5.714285714285714,1,8,1,0.1428571428571428,1,0.1428571428571428,,,7,1.0,133.0,167.35685714285714,2.4976179127511156,,,,108.88242857142858
F3,2021,O  Rasmussen,RAS,HWA RACELAB,7,,,20.0,3,28,0,0.0,1,0.1428571428571428,,,1,0.1428571428571428,142.0,162.78928571428574,8.346656017032611,,,,109.844
F3,2021,L  Sargeant,SAR,Charouz Racing System,7,,,8.285714285714286,2,13,0,0.0,1,0.1428571428571428,,,6,0.8571428571428571,132.0,164.22357142857143,3.3022358947782497,,,,109.54471428571428
F3,2021,D  Schumacher,SCH,Trident,7,,,13.142857142857142,1,30,1,0.1428571428571428,1,0.1428571428571428,,,3,0.4285714285714285,141.0,164.70328571428573,9.26334301478272,,,,109.316
F3,2021,A  Simmons,SIM,Charouz Racing System,1,,,25.0,25,25,0,0.0,0,0.0,,,0,0.0,20.0,175.241,,,,,117.437
F3,2021,A  Smolyar,SMO,ART Grand Prix,7,,,10.571428571428571,4,28,0,0.0,0,0.0,,,4,0.5714285714285714,144.0,164.31214285714285,8.18244345855081,,,,109.25157142857142
F3,2021,R  Stanek,STA,Hitech Grand Prix,7,,,18.0,10,27,0,0.0,0,0.0,,,1,0.1428571428571428,142.0,160.83614285714287,6.298147875897061,,,,110.00714285714284
F3,2021,L  Tóth,TOT,Campos Racing,6,,,21.666666666666668,3,27,0,0.0,1,0.1666666666666666,,,1,0.1666666666666666,121.0,163.4525,9.24481836850604,,,,107.11366666666667
F3,2021,F  Ugran,UGR,Jenzer Motorsport,7,,,25.714285714285715,21,30,0,0.0,0,0.0,,,0,0.0,144.0,162.19142857142856,3.199702367110921,,,,110.28228571428572
F3,2021,T  van der Helm,VAN,MP Motorsport,7,,,18.714285714285715,2,23,0,0.0,1,0.1428571428571428,,,1,0.1428571428571428,143.0,163.15642857142856,7.476948702830714,,,,110.0067142857143
F3,2021,F  Vesti,VES,ART Grand Prix,7,,,7.428571428571429,3,10,0,0.0,1,0.1428571428571428,,,7,1.0,144.0,164.9997142857143,2.5071326821120348,,,,108.97171428571428
F3,2021,R  Villagómez,VIL,HWA RACELAB,7,,,21.285714285714285,4,29,0,0.0,0,0.0,,,1,0.1428571428571428,118.0,144.61033333333333,8.994707438530833,,,,104.10433333333332
F3,2021,C  Williams,WIL,Jenzer Motorsport,7,,,17.571428571428573,11,22,0,0.0,0,0.0,,,0,0.0,144.0,163.51542857142857,3.779644730092272,,,,109.60657142857144
F3,2021,H  Yeany,YEA,Charouz Racing System,2,,,24.0,24,24,0,0.0,0,0.0,,,0,0.0,35.0,149.878,0.0,,,,117.0965
