series,year,driver_name,driver_code,team_name,n_races,total_points,avg_points,avg_finish,best_finish,worst_finish,wins,win_rate,podiums,podium_rate,points_finishes,points_rate,top10_finishes,top10_rate,total_laps,avg_kph,finish_std,points_std,dnf_count,dnf_rate,avg_best_lap_s
F2,2024,A  Cordeel,ACO,Hitech Pulse-Eight,14,20.0,1.4285714285714286,14.0,7,21,0,0.0,0,0.0,4.0,0.2857142857142857,4,0.2857142857142857,337.0,172.8595,5.233031185136908,2.408775166385979,4.0,0.2857142857142857,98.06141666666667
F2,2024,A  Antonelli,ANT,PREMA Racing,14,95.0,6.785714285714286,9.071428571428571,1,22,1,0.0714285714285714,2,0.1428571428571428,9.0,0.6428571428571429,9,0.6428571428571429,360.0,173.80815384615383,6.580440547729141,7.73780501005462,2.0,0.1428571428571428,96.79581818181818
F2,2024,P  Aron,ARO,Hitech Pulse-Eight,14,112.0,8.0,9.428571428571429,1,22,1,0.0714285714285714,4,0.2857142857142857,9.0,0.6428571428571429,9,0.6428571428571429,349.0,172.59646153846154,7.643139565491555,8.208813275048676,3.0,0.2142857142857142,97.51345454545454
F2,2024,T  Barnard,BAR,AIX Racing,10,6.0,0.6,14.5,8,20,0,0.0,0,0.0,2.0,0.2,2,0.2,297.0,175.1875,4.249182927993987,1.349897115421106,1.0,0.1,95.90277777777776
F2,2024,D  Beganovic,BEG,DAMS Lucas Oil,2,28.0,14.0,3.5,2,5,0,0.0,1,0.5,2.0,1.0,2,1.0,42.0,186.29,2.1213203435596424,5.656854249492381,0.0,0.0,99.052
F2,2024,J  Bennett,BEN,Van Amersfoort Racing,2,4.0,2.0,13.0,8,18,0,0.0,0,0.0,1.0,0.5,1,0.5,41.0,184.1955,7.0710678118654755,2.8284271247461903,0.0,0.0,100.251
F2,2024,G  Bortoleto,BOR,Invicta Racing,14,173.0,12.357142857142858,5.642857142857143,1,20,3,0.2142857142857142,6,0.4285714285714285,12.0,0.8571428571428571,12,0.8571428571428571,386.0,163.51992857142858,5.372395868012461,9.111338184728051,1.0,0.0714285714285714,97.41516666666666
F2,2024,L  Browning,BRO,ART Grand Prix,3,10.0,3.3333333333333335,10.0,7,15,0,0.0,0,0.0,2.0,0.6666666666666666,2,0.6666666666666666,59.0,151.73,4.358898943540674,3.0550504633038935,0.0,0.0,107.7735
F2,2024,J  Crawford,CRA,DAMS Lucas Oil,14,74.0,5.285714285714286,10.857142857142858,1,22,1,0.0714285714285714,3,0.2142857142857142,8.0,0.5714285714285714,8,0.5714285714285714,336.0,175.60015384615386,6.712298045747452,7.730345513509843,3.0,0.2142857142857142,98.89909090909092
F2,2024,J  Dürksen,DUR,AIX Racing,14,56.0,4.0,12.214285714285714,3,21,0,0.0,1,0.0714285714285714,6.0,0.4285714285714285,6,0.4285714285714285,333.0,171.30135714285714,6.773007188363701,5.615911461059686,4.0,0.2857142857142857,101.98925
F2,2024,M  Esterson,EST,Trident,2,0.0,0.0,17.5,17,18,0,0.0,0,0.0,0.0,0.0,0,0.0,41.0,182.974,0.7071067811865476,0.0,0.0,0.0,99.648
F2,2024,E  Fittipaldi,FIT,Van Amersfoort Racing,12,45.0,3.75,11.416666666666666,2,22,0,0.0,1,0.0833333333333333,5.0,0.4166666666666667,5,0.4166666666666667,324.0,169.81918181818182,6.156420644458527,6.151496491985434,2.0,0.1666666666666666,96.5034
F2,2024,L  Fornaroli,FOR,Rodin Motorsport,1,8.0,8.0,6.0,6,6,0,0.0,0,0.0,1.0,1.0,1,1.0,12.0,197.113,,,0.0,0.0,
F2,2024,O  Goethe,GOE,MP Motorsport,4,12.0,3.0,13.25,4,19,0,0.0,0,0.0,1.0,0.25,1,0.25,71.0,191.42466666666667,6.5,6.0,1.0,0.25,96.0405
F2,2024,I  Hadjar,HAD,Campos Racing,14,161.0,11.5,8.0,1,21,4,0.2857142857142857,7,0.5,8.0,0.5714285714285714,8,0.5714285714285714,371.0,174.68053846153848,7.8151726197777025,11.16829303120084,1.0,0.0714285714285714,96.62190909090909
F2,2024,D  Hauger,HAU,MP Motorsport,12,49.0,4.083333333333333,11.416666666666666,1,22,1,0.0833333333333333,1,0.0833333333333333,6.0,0.5,6,0.5,287.0,170.30045454545456,6.416715859709111,7.242028009954788,3.0,0.25,98.1075
F2,2024,J  Correa,JCO,DAMS Lucas Oil,12,31.0,2.5833333333333335,13.166666666666666,3,20,0,0.0,1,0.0833333333333333,4.0,0.3333333333333333,4,0.3333333333333333,318.0,163.79958333333337,5.921199714636052,4.907477288111819,3.0,0.25,98.22627272727271
F2,2024,J  Martí,JMA,Campos Racing,14,21.0,1.5,13.857142857142858,2,22,0,0.0,1,0.0714285714285714,3.0,0.2142857142857142,3,0.2142857142857142,364.0,180.02616666666663,5.40451581631428,4.783786720226496,3.0,0.2142857142857142,93.0721
F2,2024,N  Koolen,KOO,AIX Racing,2,0.0,0.0,19.5,19,20,0,0.0,0,0.0,0.0,0.0,0,0.0,30.0,200.355,0.7071067811865476,0.0,1.0,0.5,94.228
F2,2024,K  Maini,MAI,Invicta Racing,14,20.0,1.4285714285714286,14.642857142857142,6,21,0,0.0,0,0.0,3.0,0.2142857142857142,3,0.2142857142857142,392.0,179.57323076923075,5.001648080031573,2.8746715053613108,1.0,0.0714285714285714,95.25418181818182
F2,2024,Z  Maloney,MAL,Rodin Motorsport,13,94.0,7.230769230769231,9.153846153846152,1,22,1,0.0769230769230769,4,0.3076923076923077,9.0,0.6923076923076923,9,0.6923076923076923,334.0,169.82823076923074,6.86593224850243,8.776425298812782,2.0,0.1538461538461538,97.67858333333334
F2,2024,C  Mansell,MAN,Trident,3,9.0,3.0,11.666666666666666,6,19,0,0.0,0,0.0,2.0,0.6666666666666666,2,0.6666666666666666,58.0,151.64766666666665,6.658328118479393,4.358898943540674,0.0,0.0,108.5715
F2,2024,G  Minì,MIN,PREMA Racing,1,0.0,0.0,16.0,16,16,0,0.0,0,0.0,0.0,0.0,0,0.0,14.0,80.32,,,1.0,1.0,116.692
F2,2024,R  Miyata,MIY,Rodin Motorsport,14,38.0,2.7142857142857144,11.857142857142858,3,19,0,0.0,1,0.0714285714285714,6.0,0.4285714285714285,6,0.4285714285714285,406.0,171.41385714285713,4.943638380743522,4.6314737881747154,1.0,0.0714285714285714,97.66866666666664
F2,2024,Z  O'Sullivan,OSU,ART Grand Prix,11,63.0,5.7272727272727275,10.0,1,22,1,0.0909090909090909,1,0.0909090909090909,5.0,0.4545454545454545,5,0.4545454545454545,326.0,179.8230909090909,6.276941930590086,8.36768676625636,1.0,0.0909090909090909,95.5981
F2,2024,C  Shields,SHI,AIX Racing,2,0.0,0.0,15.5,11,20,0,0.0,0,0.0,0.0,0.0,0,0.0,41.0,182.7315,6.363961030678928,0.0,0.0,0.0,100.891
F2,2024,R  Stanek,STA,Trident,11,0.0,0.0,15.636363636363637,11,18,0,0.0,0,0.0,0.0,0.0,0,0.0,353.0,177.99254545454548,2.335496832484569,0.0,0.0,0.0,95.2555
F2,2024,R  Verschoor,VER,Trident,14,78.0,5.571428571428571,10.857142857142858,1,20,1,0.0714285714285714,3,0.2142857142857142,7.0,0.5,7,0.5,376.0,172.8215,6.549893045012178,7.949013346750224,3.0,0.2142857142857142,97.61766666666666
F2,2024,R  Villagómez,VIL,Van Amersfoort Racing,14,9.0,0.6428571428571429,15.928571428571429,8,22,0,0.0,0,0.0,3.0,0.2142857142857142,3,0.2142857142857142,319.0,174.71984615384616,4.81127339156191,1.4468609447374663,4.0,0.2857142857142857,101.184
F2,2024,V  Martins,VMA,ART Grand Prix,14,72.0,5.142857142857143,10.214285714285714,2,21,0,0.0,2,0.1428571428571428,9.0,0.6428571428571429,9,0.6428571428571429,332.0,167.58076923076925,6.387229704394801,6.549893045012178,3.0,0.2142857142857142,102.90945454545454
F3,2024,N  Bedrin,BED,AIX Racing,10,,,15.9,1,26,1,0.1,2,0.2,,,3,0.3,205.0,163.38709999999998,9.49210198006743,,,,100.1502
F3,2024,D  Beganovic,BEG,PREMA Racing,10,,,11.7,2,25,0,0.0,1,0.1,,,5,0.5,225.0,165.0884,6.912950809089335,,,,100.3174
F3,2024,M  Boya,BOY,Campos Racing,10,,,14.7,5,30,0,0.0,0,0.0,,,5,0.5,206.0,160.25979999999998,9.381423725166192,,,,105.1216
F3,2024,L  Browning,BRO,Hitech Pulse-Eight,10,,,9.7,2,29,0,0.0,1,0.1,,,6,0.6,225.0,165.3781,8.219894565422763,,,,100.4283
F3,2024,J  Dufek,DUF,AIX Racing,10,,,18.3,1,28,1,0.1,1,0.1,,,2,0.2,192.0,161.9736,8.8700494800073,,,,101.942
F3,2024,A  Dunne,DUN,MP Motorsport,10,,,13.4,3,20,0,0.0,1,0.1,,,3,0.3,212.0,163.3249,5.015531433014408,,,,106.9641
F3,2024,M  Esterson,EST,Jenzer Motorsport,10,,,18.6,6,25,0,0.0,0,0.0,,,1,0.1,217.0,161.8136,6.095535707019979,,,,100.9617
F3,2024,S  Floersch,FLO,Van Amersfoort Racing,10,,,10.2,1,27,3,0.3,5,0.5,,,5,0.5,156.0,162.37380000000002,9.919677414109795,,,,107.27144444444444
F3,2024,L  Fornaroli,FOR,Trident,10,,,7.7,3,13,0,0.0,2,0.2,,,7,0.7,225.0,165.4437,3.4976182372199127,,,,100.3778
F3,2024,O  Goethe,GOE,Campos Racing,9,,,10.77777777777778,2,24,0,0.0,1,0.1111111111111111,,,4,0.4444444444444444,203.0,162.42855555555556,5.995368582868316,,,,99.981
F3,2024,J  Hedley,HED,Jenzer Motorsport,1,,,24.0,24,24,0,0.0,0,0.0,,,0,0.0,27.0,121.398,,,,,87.57
F3,2024,T  Inthraphuvasak,INT,AIX Racing,10,,,24.0,18,30,0,0.0,0,0.0,,,0,0.0,202.0,162.29233333333335,4.784233364802441,,,,101.03288888888888
F3,2024,N  León,LEO,Van Amersfoort Racing,10,,,16.8,6,27,0,0.0,0,0.0,,,2,0.2,225.0,164.1243,7.360555534589612,,,,101.0022
F3,2024,A  Lindblad,LIN,PREMA Racing,10,,,8.5,3,25,0,0.0,2,0.2,,,8,0.8,216.0,165.34949999999998,6.519202405202649,,,,104.175
F3,2024,J  Loake,LOA,Rodin Motorsport,10,,,23.7,9,30,0,0.0,0,0.0,,,1,0.1,200.0,161.2488888888889,7.557924465236619,,,,104.498
F3,2024,C  Mansell,MAN,ART Grand Prix,10,,,11.4,3,26,0,0.0,1,0.1,,,5,0.5,225.0,164.9827,7.862710869809611,,,,100.8672
F3,2024,S  Meguetounif,MEG,Trident,10,,,12.8,1,30,2,0.2,2,0.2,,,5,0.5,217.0,165.5677,9.589345939924971,,,,100.7473
F3,2024,G  Minì,MIN,PREMA Racing,10,,,9.8,3,23,0,0.0,1,0.1,,,7,0.7,225.0,165.5229,6.679986693266852,,,,99.4492
F3,2024,S  Montoya,MON,Campos Racing,10,,,13.0,2,30,0,0.0,2,0.2,,,5,0.5,191.0,160.8958,9.153020145163987,,,,101.0122
